NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,1,1000000,1000000,0.000000,0.000000,0.179327,0.820673,0.041039,0.958961
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,1000001,2000000,1000000,0.000000,0.000000,0.086692,0.913308,0.032087,0.967913
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,2000001,3000000,1000000,0.000000,0.000000,0.033813,0.966187,0.017792,0.982208
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,3000001,4000000,1000000,0.000000,0.000000,0.017726,0.982274,0.017451,0.982549
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,4000001,5000000,1000000,0.000000,0.000000,0.024899,0.975101,0.017758,0.982242
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,5000001,6000000,1000000,0.000000,0.000000,0.019117,0.980883,0.015479,0.984521
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,6000001,7000000,1000000,0.000000,0.000000,0.018168,0.981832,0.013527,0.986473
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,7000001,8000000,1000000,0.000000,0.000000,0.024875,0.975125,0.014096,0.985904
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,8000001,9000000,1000000,0.000000,0.000000,0.020633,0.979367,0.014164,0.985836
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,9000001,10000000,1000000,0.000000,0.000000,0.014398,0.985602,0.014102,0.985898
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,10000001,11000000,1000000,0.000000,0.000000,0.009839,0.990161,0.012925,0.987075
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,11000001,12000000,1000000,0.000000,0.000000,0.022987,0.977013,0.012742,0.987258
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,12000001,13000000,1000000,0.000000,0.000000,0.013309,0.986691,0.013032,0.986968
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,13000001,14000000,1000000,0.000000,0.000000,0.014046,0.985954,0.013270,0.986730
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,14000001,15000000,1000000,0.000000,0.000000,0.013182,0.986818,0.013312,0.986688
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,15000001,16000000,1000000,0.000000,0.000000,0.014910,0.985090,0.012744,0.987256
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,16000001,17000000,1000000,0.000000,0.000000,0.025627,0.974373,0.012844,0.987156
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,17000001,18000000,1000000,0.000000,0.000000,0.012915,0.987085,0.012046,0.987954
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,18000001,19000000,1000000,0.000000,0.000000,0.011941,0.988059,0.012808,0.987192
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,19000001,20000000,1000000,0.000000,0.000000,0.016791,0.983209,0.012543,0.987457
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,20000001,21000000,1000000,0.000000,0.000000,0.016327,0.983673,0.014457,0.985543
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,21000001,22000000,1000000,0.000000,0.000000,0.004594,0.995406,0.013013,0.986987
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,22000001,23000000,1000000,0.000000,0.000000,0.018097,0.981903,0.017229,0.982771
hg002#M#chrX_MATERNAL,mGorGor1#M#chrX_mat_hsaX,X,23000001,24000000,1000000,0.000000,0.000000,0.012335,0.987665,0.014659,0.985341
