NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,1,1000000,1000000,0.000000,0.000000,0.209993,0.790007,0.034693,0.965307
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,1000001,2000000,1000000,0.000000,0.000000,0.088951,0.911049,0.028570,0.971430
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,2000001,3000000,1000000,0.000000,0.000000,0.302363,0.697637,0.016835,0.983165
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,5000001,6000000,1000000,0.000000,0.000000,0.974671,0.025329,0.142722,0.857278
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,6000001,7000000,1000000,0.000000,0.000000,0.362880,0.637120,0.034587,0.965413
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,7000001,8000000,1000000,0.000000,0.000000,0.241322,0.758678,0.033125,0.966875
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,8000001,9000000,1000000,0.000000,0.000000,0.785769,0.214231,0.161601,0.838399
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,9000001,10000000,1000000,0.000000,0.000000,0.791023,0.208977,0.030295,0.969705
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,10000001,11000000,1000000,0.000000,0.000000,0.649993,0.350007,0.081170,0.918830
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,11000001,12000000,1000000,0.000000,0.000000,0.581832,0.418168,0.042000,0.958000
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,12000001,13000000,1000000,0.000000,0.000000,0.592372,0.407628,0.091316,0.908684
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,13000001,14000000,1000000,0.000000,0.000000,0.018777,0.981223,0.016277,0.983723
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,14000001,15000000,1000000,0.000000,0.000000,0.035569,0.964431,0.017275,0.982725
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,15000001,16000000,1000000,0.000000,0.000000,0.044778,0.955222,0.017515,0.982485
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,16000001,17000000,1000000,0.000000,0.000000,0.026023,0.973977,0.018719,0.981281
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,17000001,18000000,1000000,0.000000,0.000000,0.074170,0.925830,0.016552,0.983448
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,18000001,19000000,1000000,0.000000,0.000000,0.118975,0.881025,0.021030,0.978970
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,19000001,20000000,1000000,0.000000,0.000000,0.441970,0.558030,0.021409,0.978591
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,20000001,21000000,1000000,0.000000,0.000000,0.078579,0.921421,0.017272,0.982728
hg002#P#chrY_PATERNAL,mPanTro3#2#chrY_hap2_hsaY,Y,21000001,22000000,1000000,0.000000,0.000000,0.363544,0.636456,0.016738,0.983262
