NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,1,1000000,1000000,0.000000,0.000000,0.184875,0.815125,0.035062,0.964938
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,1000001,2000000,1000000,0.000000,0.000000,0.145868,0.854132,0.029055,0.970945
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,2000001,3000000,1000000,0.000000,0.000000,0.242427,0.757573,0.016124,0.983876
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,4000001,5000000,1000000,0.000000,0.000000,0.679283,0.320717,0.011265,0.988735
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,5000001,6000000,1000000,0.000000,0.000000,0.025585,0.974415,0.012241,0.987759
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,6000001,7000000,1000000,0.000000,0.000000,0.033798,0.966202,0.012651,0.987349
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,7000001,8000000,1000000,0.000000,0.000000,0.008125,0.991875,0.010894,0.989106
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,8000001,9000000,1000000,0.000000,0.000000,0.024174,0.975826,0.008640,0.991360
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,9000001,10000000,1000000,0.000000,0.000000,0.129504,0.870496,0.009855,0.990145
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,10000001,11000000,1000000,0.000000,0.000000,0.132496,0.867504,0.010454,0.989546
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,11000001,12000000,1000000,0.000000,0.000000,0.009401,0.990599,0.010592,0.989408
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,12000001,13000000,1000000,0.000000,0.000000,0.004376,0.995624,0.007765,0.992235
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,13000001,14000000,1000000,0.000000,0.000000,0.010392,0.989608,0.007943,0.992057
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,14000001,15000000,1000000,0.000000,0.000000,0.003391,0.996609,0.009234,0.990766
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,15000001,16000000,1000000,0.000000,0.000000,0.002554,0.997446,0.008303,0.991697
mPanPan1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,16000001,17000000,1000000,0.000000,0.000000,0.027362,0.972638,0.009576,0.990424
