"NAME","CHRGRP","GAP_OTHER","DIFF"
"hg002","A",0.0348311327372765,0.00160519854217286
"PanTro3","A",0.0809054096064043,0.00273255155709343
"PanPan1","A",0.0883864465860829,0.00369594379391101
"GorGor1","A",0.138150623466028,0.00574958437399936
"PonAbe1","A",0.0666374458703522,0.00353879546224179
"mPonPyg2","A",0.0612673888888889,0.00252082517006803
"hg002 vs. PanTro3","A",0.133012039889959,0.0159789794238683
"hg002 vs. PanTro3","X",0.041811535483871,0.0115473548387097
"hg002 vs. PanTro3","Y",0.756041952380952,0.0398068
"PanTro3 vs. hg002","A",0.124731970647098,0.0146328324324324
"PanTro3 vs. hg002","X",0.0438478181818182,0.0109907337662338
"PanTro3 vs. hg002","Y",0.566080945945946,0.0658808181818182
"hg002 vs. PanPan1","A",0.125373392709766,0.0161503567447046
"hg002 vs. PanPan1","X",0.0457927290322581,0.0117489161290323
"hg002 vs. PanPan1","Y",0.758730587301587,0.03581764
"PanPan1 vs. hg002","A",0.144111660568442,0.014581309412189
"PanPan1 vs. hg002","X",0.0821294968944099,0.0113192516129032
"PanPan1 vs. hg002","Y",0.65135085106383,0.0700501935483871
"hg002 vs. GorGor1","A",0.17883321389271,0.0199118626373626
"hg002 vs. GorGor1","X",0.0525530516129032,0.0164242922077922
"hg002 vs. GorGor1","Y",0.742502222222222,0.104514205128205
"GorGor1 vs. hg002","A",0.273240005088297,0.0185878866256726
"GorGor1 vs. hg002","X",0.176932303370786,0.0155685161290323
"GorGor1 vs. hg002","Y",0.776126220588235,0.0641214482758621
"hg002 vs. PonAbe1","A",0.154712538514443,0.036405658033033
"hg002 vs. PonAbe1","X",0.0876411870967742,0.0301463594771242
"hg002 vs. PonAbe1","Y",0.772945952380952,0.115780634146341
"PonAbe1 vs. hg002","A",0.165160456400132,0.0361210560114163
"PonAbe1 vs. hg002","X",0.133320680981595,0.0290199038461538
"PonAbe1 vs. hg002","Y",0.797184485294118,0.101255057142857
"hg002 vs. mPonPyg2","A",0.162117327028886,0.0365193946374622
"hg002 vs. mPonPyg2","X",0.0879987677419355,0.0300251633986928
"hg002 vs. mPonPyg2","Y",0.776785968253968,0.10261471875
"mPonPyg2 vs. hg002","A",0.161312799603174,0.0355223364318913
"mPonPyg2 vs. hg002","X",0.125266385093168,0.0293243653846154
"mPonPyg2 vs. hg002","Y",0.73511542,0.0935986470588235
"mPonAbe1 vs. mPonPyg2","A",0.0885884883185258,0.00500535789832821
"mPonAbe1 vs. mPonPyg2","X",0.0356138711656442,0.00445921472392638
"mPonAbe1 vs. mPonPyg2","Y",0.428544602941176,0.00524767924528302
"mPonPyg2 vs. mPonAbe1","A",0.0854030823412698,0.00479622481952561
"mPonPyg2 vs. mPonAbe1","X",0.0273258447204969,0.00417827950310559
"mPonPyg2 vs. mPonAbe1","Y",0.20606564,0.00505917021276596
"mPanTro3 vs. PanPan1","A",0.0988163629086057,0.00781754802259887
"mPanTro3 vs. PanPan1","X",0.0193961428571429,0.0037205974025974
"mPanTro3 vs. PanPan1","Y",0.342709513513514,0.00836640625
"PanPan1 vs. mPanTro3","A",0.116894958836981,0.00903551296232285
"PanPan1 vs. mPanTro3","X",0.0604554285714286,0.00380928025477707
"PanPan1 vs. mPanTro3","Y",0.451683085106383,0.0154792926829268
