NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,1,1000000,1000000,0.000000,0.000000,0.371311,0.628689,0.048964,0.951036
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,1000001,2000000,1000000,0.000000,0.000000,0.051450,0.948550,0.043418,0.956582
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,2000001,3000000,1000000,0.000000,0.000000,0.362989,0.637011,0.044619,0.955381
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,3000001,4000000,1000000,0.000000,0.000000,0.050574,0.949426,0.041944,0.958056
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,4000001,5000000,1000000,0.000000,0.000000,0.029591,0.970409,0.038906,0.961094
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,5000001,6000000,1000000,0.000000,0.000000,0.035535,0.964465,0.040053,0.959947
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,6000001,7000000,1000000,0.000000,0.000000,0.025212,0.974788,0.034621,0.965379
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,7000001,8000000,1000000,0.000000,0.000000,0.056414,0.943586,0.036899,0.963101
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,8000001,9000000,1000000,0.000000,0.000000,0.026849,0.973151,0.035396,0.964604
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,9000001,10000000,1000000,0.000000,0.000000,0.034609,0.965391,0.035372,0.964628
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,10000001,11000000,1000000,0.000000,0.000000,0.022002,0.977998,0.032616,0.967384
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,11000001,12000000,1000000,0.000000,0.000000,0.027589,0.972411,0.036730,0.963270
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,12000001,13000000,1000000,0.000000,0.000000,0.190152,0.809848,0.049853,0.950147
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,13000001,14000000,1000000,0.000000,0.000000,0.030618,0.969382,0.038237,0.961763
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,14000001,15000000,1000000,0.000000,0.000000,0.026831,0.973169,0.037800,0.962200
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,15000001,16000000,1000000,0.000000,0.000000,0.017842,0.982158,0.034887,0.965113
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,16000001,17000000,1000000,0.000000,0.000000,0.722843,0.277157,0.045649,0.954351
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,17000001,18000000,1000000,0.000000,0.000000,0.028458,0.971542,0.038325,0.961675
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,18000001,19000000,1000000,0.000000,0.000000,0.013136,0.986864,0.037471,0.962529
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,19000001,20000000,1000000,0.000000,0.000000,0.017940,0.982060,0.034352,0.965648
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,20000001,21000000,1000000,0.000000,0.000000,0.019771,0.980229,0.034186,0.965814
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,21000001,22000000,1000000,0.000000,0.000000,0.062876,0.937124,0.033329,0.966671
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,22000001,23000000,1000000,0.000000,0.000000,0.015893,0.984107,0.035460,0.964540
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,23000001,24000000,1000000,0.000000,0.000000,0.025751,0.974249,0.031392,0.968608
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,24000001,25000000,1000000,0.000000,0.000000,0.043727,0.956273,0.034582,0.965418
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,25000001,26000000,1000000,0.000000,0.000000,0.092042,0.907958,0.033506,0.966494
hg002#M#chr1_MATERNAL,mPonPyg2#1#chr1_hap1_hsa1,1,26000001,27000000,1000000,0.000000,0.000000,0.024796,0.975204,0.031156,0.968844
