NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,1,1000000,1000000,0.000000,0.000000,0.501749,0.498251,0.017708,0.982292
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,1000001,2000000,1000000,0.000000,0.000000,0.032722,0.967278,0.016024,0.983976
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,2000001,3000000,1000000,0.000000,0.000000,0.031401,0.968599,0.014525,0.985475
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,3000001,4000000,1000000,0.000000,0.000000,0.036159,0.963841,0.016028,0.983972
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,4000001,5000000,1000000,0.000000,0.000000,0.013615,0.986385,0.014843,0.985157
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,5000001,6000000,1000000,0.000000,0.000000,0.008119,0.991881,0.011704,0.988296
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,6000001,7000000,1000000,0.000000,0.000000,0.014465,0.985535,0.014085,0.985915
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,7000001,8000000,1000000,0.000000,0.000000,0.007650,0.992350,0.014392,0.985608
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,8000001,9000000,1000000,0.000000,0.000000,0.028315,0.971685,0.014334,0.985666
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,9000001,10000000,1000000,0.000000,0.000000,0.012003,0.987997,0.013560,0.986440
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,10000001,11000000,1000000,0.000000,0.000000,0.008257,0.991743,0.015201,0.984799
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,11000001,12000000,1000000,0.000000,0.000000,0.022839,0.977161,0.013559,0.986441
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,12000001,13000000,1000000,0.000000,0.000000,0.034255,0.965745,0.013700,0.986300
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,13000001,14000000,1000000,0.000000,0.000000,0.009401,0.990599,0.013172,0.986828
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,14000001,15000000,1000000,0.000000,0.000000,0.021914,0.978086,0.012851,0.987149
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,15000001,16000000,1000000,0.000000,0.000000,0.015368,0.984632,0.013164,0.986836
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,16000001,17000000,1000000,0.000000,0.000000,0.009120,0.990880,0.011985,0.988015
mPanPan1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,17000001,18000000,1000000,0.000000,0.000000,0.007678,0.992322,0.012298,0.987702
