NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,1,1000000,1000000,0.000000,0.000000,0.265609,0.734391,0.043254,0.956746
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,1000001,2000000,1000000,0.000000,0.000000,0.184827,0.815173,0.037866,0.962134
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,2000001,3000000,1000000,0.000000,0.000000,0.106139,0.893861,0.039691,0.960309
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,3000001,4000000,1000000,0.000000,0.000000,0.047139,0.952861,0.039599,0.960401
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,4000001,5000000,1000000,0.000000,0.000000,0.042068,0.957932,0.035226,0.964774
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,5000001,6000000,1000000,0.000000,0.000000,0.036480,0.963520,0.029985,0.970015
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,6000001,7000000,1000000,0.000000,0.000000,0.059450,0.940550,0.037422,0.962578
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,7000001,8000000,1000000,0.000000,0.000000,0.047627,0.952373,0.035118,0.964882
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,8000001,9000000,1000000,0.000000,0.000000,0.038590,0.961410,0.034952,0.965048
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,9000001,10000000,1000000,0.000000,0.000000,0.029405,0.970595,0.035530,0.964470
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,10000001,11000000,1000000,0.000000,0.000000,0.158502,0.841498,0.035728,0.964272
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,11000001,12000000,1000000,0.000000,0.000000,0.027178,0.972822,0.034499,0.965501
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,12000001,13000000,1000000,0.000000,0.000000,0.039426,0.960574,0.035337,0.964663
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,13000001,14000000,1000000,0.000000,0.000000,0.049342,0.950658,0.034764,0.965236
mPonPyg2#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,14000001,15000000,1000000,0.000000,0.000000,0.022248,0.977752,0.032804,0.967196
