NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,1,1000000,1000000,0.000000,0.000000,0.254908,0.745092,0.019302,0.980698
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,1000001,2000000,1000000,0.000000,0.000000,0.073974,0.926026,0.016532,0.983468
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,2000001,3000000,1000000,0.000000,0.000000,0.345540,0.654460,0.017524,0.982476
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,3000001,4000000,1000000,0.000000,0.000000,0.017981,0.982019,0.017487,0.982513
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,4000001,5000000,1000000,0.000000,0.000000,0.012273,0.987727,0.016396,0.983604
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,5000001,6000000,1000000,0.000000,0.000000,0.013502,0.986498,0.014909,0.985091
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,6000001,7000000,1000000,0.000000,0.000000,0.011285,0.988715,0.013007,0.986993
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,7000001,8000000,1000000,0.000000,0.000000,0.026074,0.973926,0.013504,0.986496
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,8000001,9000000,1000000,0.000000,0.000000,0.015918,0.984082,0.013185,0.986815
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,9000001,10000000,1000000,0.000000,0.000000,0.018192,0.981808,0.011994,0.988006
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,10000001,11000000,1000000,0.000000,0.000000,0.009009,0.990991,0.011547,0.988453
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,11000001,12000000,1000000,0.000000,0.000000,0.026022,0.973978,0.013989,0.986011
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,12000001,13000000,1000000,0.000000,0.000000,0.287779,0.712221,0.016585,0.983415
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,13000001,14000000,1000000,0.000000,0.000000,0.011371,0.988629,0.014898,0.985102
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,14000001,15000000,1000000,0.000000,0.000000,0.007498,0.992502,0.014977,0.985023
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,15000001,16000000,1000000,0.000000,0.000000,0.016401,0.983599,0.011689,0.988311
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,16000001,17000000,1000000,0.000000,0.000000,0.613018,0.386982,0.015342,0.984658
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,17000001,18000000,1000000,0.000000,0.000000,0.034320,0.965680,0.014032,0.985968
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,18000001,19000000,1000000,0.000000,0.000000,0.005961,0.994039,0.014164,0.985836
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,19000001,20000000,1000000,0.000000,0.000000,0.014694,0.985306,0.013610,0.986390
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,20000001,21000000,1000000,0.000000,0.000000,0.014742,0.985258,0.012708,0.987292
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,21000001,22000000,1000000,0.000000,0.000000,0.036130,0.963870,0.011855,0.988145
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,22000001,23000000,1000000,0.000000,0.000000,0.008599,0.991401,0.012963,0.987037
hg002#M#chr1_MATERNAL,mPanTro3#1#chr1_hap1_hsa1,1,23000001,24000000,1000000,0.000000,0.000000,0.020078,0.979922,0.011666,0.988334
