NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,1,1000000,1000000,0.000000,0.000000,0.371622,0.628378,0.048743,0.951257
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,1000001,2000000,1000000,0.000000,0.000000,0.055772,0.944228,0.043073,0.956927
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,2000001,3000000,1000000,0.000000,0.000000,0.362708,0.637292,0.044639,0.955361
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,3000001,4000000,1000000,0.000000,0.000000,0.050331,0.949669,0.041909,0.958091
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,4000001,5000000,1000000,0.000000,0.000000,0.030966,0.969034,0.038870,0.961130
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,5000001,6000000,1000000,0.000000,0.000000,0.031620,0.968380,0.040144,0.959856
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,6000001,7000000,1000000,0.000000,0.000000,0.026843,0.973157,0.034659,0.965341
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,7000001,8000000,1000000,0.000000,0.000000,0.046361,0.953639,0.036872,0.963128
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,8000001,9000000,1000000,0.000000,0.000000,0.026829,0.973171,0.035356,0.964644
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,9000001,10000000,1000000,0.000000,0.000000,0.034624,0.965376,0.035359,0.964641
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,10000001,11000000,1000000,0.000000,0.000000,0.022121,0.977879,0.032503,0.967497
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,11000001,12000000,1000000,0.000000,0.000000,0.025904,0.974096,0.036836,0.963164
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,12000001,13000000,1000000,0.000000,0.000000,0.149031,0.850969,0.049334,0.950666
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,13000001,14000000,1000000,0.000000,0.000000,0.025121,0.974879,0.036968,0.963032
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,14000001,15000000,1000000,0.000000,0.000000,0.026717,0.973283,0.037757,0.962243
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,15000001,16000000,1000000,0.000000,0.000000,0.017109,0.982891,0.034765,0.965235
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,16000001,17000000,1000000,0.000000,0.000000,0.764679,0.235321,0.043800,0.956200
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,17000001,18000000,1000000,0.000000,0.000000,0.021739,0.978261,0.038620,0.961380
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,18000001,19000000,1000000,0.000000,0.000000,0.012698,0.987302,0.037448,0.962552
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,19000001,20000000,1000000,0.000000,0.000000,0.019346,0.980654,0.034314,0.965686
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,20000001,21000000,1000000,0.000000,0.000000,0.018943,0.981057,0.034206,0.965794
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,21000001,22000000,1000000,0.000000,0.000000,0.051887,0.948113,0.033820,0.966180
hg002#M#chr1_MATERNAL,mPonAbe1#1#chr1_hap1_hsa1,1,22000001,23000000,1000000,0.000000,0.000000,0.014654,0.985346,0.035300,0.964700
