NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,1,1000000,1000000,0.000000,0.000000,0.068817,0.931183,0.014628,0.985372
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,1000001,2000000,1000000,0.000000,0.000000,0.047904,0.952096,0.010351,0.989649
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,2000001,3000000,1000000,0.000000,0.000000,0.003629,0.996371,0.003925,0.996075
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,3000001,4000000,1000000,0.000000,0.000000,0.028227,0.971773,0.004422,0.995578
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,4000001,5000000,1000000,0.000000,0.000000,0.011044,0.988956,0.004588,0.995412
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,5000001,6000000,1000000,0.000000,0.000000,0.013912,0.986088,0.004660,0.995340
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,6000001,7000000,1000000,0.000000,0.000000,0.022549,0.977451,0.003662,0.996338
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,7000001,8000000,1000000,0.000000,0.000000,0.002531,0.997469,0.002324,0.997676
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,8000001,9000000,1000000,0.000000,0.000000,0.009201,0.990799,0.002703,0.997297
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,9000001,10000000,1000000,0.000000,0.000000,0.009897,0.990103,0.002984,0.997016
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,10000001,11000000,1000000,0.000000,0.000000,0.001440,0.998560,0.002775,0.997225
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,11000001,12000000,1000000,0.000000,0.000000,0.016275,0.983725,0.002637,0.997363
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,12000001,13000000,1000000,0.000000,0.000000,0.004413,0.995587,0.002553,0.997447
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,13000001,14000000,1000000,0.000000,0.000000,0.001766,0.998234,0.002283,0.997717
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,14000001,15000000,1000000,0.000000,0.000000,0.002129,0.997871,0.002492,0.997508
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,15000001,16000000,1000000,0.000000,0.000000,0.009918,0.990082,0.002539,0.997461
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,16000001,17000000,1000000,0.000000,0.000000,0.016152,0.983848,0.002199,0.997801
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,17000001,18000000,1000000,0.000000,0.000000,0.017644,0.982356,0.002087,0.997913
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,18000001,19000000,1000000,0.000000,0.000000,0.001745,0.998255,0.002243,0.997757
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,19000001,20000000,1000000,0.000000,0.000000,0.006079,0.993921,0.002426,0.997574
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,20000001,21000000,1000000,0.000000,0.000000,0.007190,0.992810,0.001733,0.998267
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,21000001,22000000,1000000,0.000000,0.000000,0.005323,0.994677,0.002018,0.997982
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,22000001,23000000,1000000,0.000000,0.000000,0.002177,0.997823,0.002141,0.997859
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,23000001,24000000,1000000,0.000000,0.000000,0.005014,0.994986,0.003581,0.996419
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,24000001,25000000,1000000,0.000000,0.000000,0.008261,0.991739,0.002219,0.997781
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,25000001,26000000,1000000,0.000000,0.000000,0.007654,0.992346,0.001756,0.998244
mPonPyg2#1#chrX_hap1_hsaX,mPonAbe1#1#chrX_hap1_hsaX,X,26000001,27000000,1000000,0.000000,0.000000,0.002618,0.997382,0.002769,0.997231
