NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,1,1000000,1000000,0.000000,0.000000,0.225401,0.774599,0.041035,0.958965
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,1000001,2000000,1000000,0.000000,0.000000,0.097752,0.902248,0.033329,0.966671
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,2000001,3000000,1000000,0.000000,0.000000,0.289470,0.710530,0.021012,0.978988
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,5000001,6000000,1000000,0.000000,0.000000,0.947138,0.052862,0.029132,0.970868
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,6000001,7000000,1000000,0.000000,0.000000,0.393597,0.606403,0.043471,0.956529
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,7000001,8000000,1000000,0.000000,0.000000,0.785818,0.214182,0.026473,0.973527
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,8000001,9000000,1000000,0.000000,0.000000,0.447939,0.552061,0.068427,0.931573
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,9000001,10000000,1000000,0.000000,0.000000,0.829653,0.170347,0.041462,0.958538
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,10000001,11000000,1000000,0.000000,0.000000,0.781755,0.218245,0.040959,0.959041
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,11000001,12000000,1000000,0.000000,0.000000,0.594354,0.405646,0.179053,0.820947
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,12000001,13000000,1000000,0.000000,0.000000,0.552622,0.447378,0.127194,0.872806
hg002#P#chrY_PATERNAL,mGorGor1#P#chrY_pat_hsaY,Y,13000001,14000000,1000000,0.000000,0.000000,0.061363,0.938637,0.023090,0.976910
