NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,1,1000000,1000000,0.000000,0.000000,0.023652,0.976348,0.005469,0.994531
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,1000001,2000000,1000000,0.000000,0.000000,0.050086,0.949914,0.004625,0.995375
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,2000001,3000000,1000000,0.000000,0.000000,0.013906,0.986094,0.004307,0.995693
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,3000001,4000000,1000000,0.000000,0.000000,0.008711,0.991289,0.004596,0.995404
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,4000001,5000000,1000000,0.000000,0.000000,0.005457,0.994543,0.004014,0.995986
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,5000001,6000000,1000000,0.000000,0.000000,0.002930,0.997070,0.002296,0.997704
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,6000001,7000000,1000000,0.000000,0.000000,0.005109,0.994891,0.004726,0.995274
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,7000001,8000000,1000000,0.000000,0.000000,0.002807,0.997193,0.004492,0.995508
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,8000001,9000000,1000000,0.000000,0.000000,0.014975,0.985025,0.004532,0.995468
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,9000001,10000000,1000000,0.000000,0.000000,0.005835,0.994165,0.004831,0.995169
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,10000001,11000000,1000000,0.000000,0.000000,0.002682,0.997318,0.005178,0.994822
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,11000001,12000000,1000000,0.000000,0.000000,0.009170,0.990830,0.004540,0.995460
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,12000001,13000000,1000000,0.000000,0.000000,0.002941,0.997059,0.004572,0.995428
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,13000001,14000000,1000000,0.000000,0.000000,0.003112,0.996888,0.004026,0.995974
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,14000001,15000000,1000000,0.000000,0.000000,0.002732,0.997268,0.003288,0.996712
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,15000001,16000000,1000000,0.000000,0.000000,0.014445,0.985555,0.004452,0.995548
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,16000001,17000000,1000000,0.000000,0.000000,0.012133,0.987867,0.003509,0.996491
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,17000001,18000000,1000000,0.000000,0.000000,0.007227,0.992773,0.004156,0.995844
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,18000001,19000000,1000000,0.000000,0.000000,0.001892,0.998108,0.003793,0.996207
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,19000001,20000000,1000000,0.000000,0.000000,0.020019,0.979981,0.004014,0.995986
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,20000001,21000000,1000000,0.000000,0.000000,0.110649,0.889351,0.005769,0.994231
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,21000001,22000000,1000000,0.000000,0.000000,0.005343,0.994657,0.002157,0.997843
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,22000001,23000000,1000000,0.000000,0.000000,0.006409,0.993591,0.002757,0.997243
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,23000001,24000000,1000000,0.000000,0.000000,0.001545,0.998455,0.003423,0.996577
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,24000001,25000000,1000000,0.000000,0.000000,0.004348,0.995652,0.002980,0.997020
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,25000001,26000000,1000000,0.000000,0.000000,0.000998,0.999002,0.003214,0.996786
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,26000001,27000000,1000000,0.000000,0.000000,0.002951,0.997049,0.003803,0.996197
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,27000001,28000000,1000000,0.000000,0.000000,0.001203,0.998797,0.003390,0.996610
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,28000001,29000000,1000000,0.000000,0.000000,0.001545,0.998455,0.003142,0.996858
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,29000001,30000000,1000000,0.000000,0.000000,0.003482,0.996518,0.003363,0.996637
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,30000001,31000000,1000000,0.000000,0.000000,0.002508,0.997492,0.002982,0.997018
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,31000001,32000000,1000000,0.000000,0.000000,0.008723,0.991277,0.004336,0.995664
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,32000001,33000000,1000000,0.000000,0.000000,0.010110,0.989890,0.003479,0.996521
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,33000001,34000000,1000000,0.000000,0.000000,0.006463,0.993537,0.003622,0.996378
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,34000001,35000000,1000000,0.000000,0.000000,0.005152,0.994848,0.003473,0.996527
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,35000001,36000000,1000000,0.000000,0.000000,0.000640,0.999360,0.002983,0.997017
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,36000001,37000000,1000000,0.000000,0.000000,0.010377,0.989623,0.003305,0.996695
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,37000001,38000000,1000000,0.000000,0.000000,0.002982,0.997018,0.002528,0.997472
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,38000001,39000000,1000000,0.000000,0.000000,0.020407,0.979593,0.003577,0.996423
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,39000001,40000000,1000000,0.000000,0.000000,0.002763,0.997237,0.002969,0.997031
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,40000001,41000000,1000000,0.000000,0.000000,0.001206,0.998794,0.003707,0.996293
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,41000001,42000000,1000000,0.000000,0.000000,0.009545,0.990455,0.002896,0.997104
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,42000001,43000000,1000000,0.000000,0.000000,0.000988,0.999012,0.003317,0.996683
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,43000001,44000000,1000000,0.000000,0.000000,0.009078,0.990922,0.002727,0.997273
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,44000001,45000000,1000000,0.000000,0.000000,0.001265,0.998735,0.002479,0.997521
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,45000001,46000000,1000000,0.000000,0.000000,0.004122,0.995878,0.003280,0.996720
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,46000001,47000000,1000000,0.000000,0.000000,0.002008,0.997992,0.003756,0.996244
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,47000001,48000000,1000000,0.000000,0.000000,0.002264,0.997736,0.002802,0.997198
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,48000001,49000000,1000000,0.000000,0.000000,0.003219,0.996781,0.003499,0.996501
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,49000001,50000000,1000000,0.000000,0.000000,0.008103,0.991897,0.003021,0.996979
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,50000001,51000000,1000000,0.000000,0.000000,0.000950,0.999050,0.002625,0.997375
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,51000001,52000000,1000000,0.000000,0.000000,0.001564,0.998436,0.003488,0.996512
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,52000001,53000000,1000000,0.000000,0.000000,0.020281,0.979719,0.003067,0.996933
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,53000001,54000000,1000000,0.000000,0.000000,0.002112,0.997888,0.003972,0.996028
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,54000001,55000000,1000000,0.000000,0.000000,0.016791,0.983209,0.004643,0.995357
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,55000001,56000000,1000000,0.000000,0.000000,0.006329,0.993671,0.004434,0.995566
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,56000001,57000000,1000000,0.000000,0.000000,0.005046,0.994954,0.003111,0.996889
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,57000001,58000000,1000000,0.000000,0.000000,0.005263,0.994737,0.004666,0.995334
mPonAbe1#1#chr1_hap1_hsa1,mPonPyg2#1#chr1_hap1_hsa1,1,58000001,59000000,1000000,0.000000,0.000000,0.011168,0.988832,0.004398,0.995602
