NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,1,1000000,1000000,0.000000,0.000000,0.256854,0.743146,0.073961,0.926039
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,1000001,2000000,1000000,0.000000,0.000000,0.173916,0.826084,0.061639,0.938361
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,2000001,3000000,1000000,0.000000,0.000000,0.047027,0.952973,0.034579,0.965421
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,3000001,4000000,1000000,0.000000,0.000000,0.031424,0.968576,0.031223,0.968777
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,4000001,5000000,1000000,0.000000,0.000000,0.038622,0.961378,0.032096,0.967904
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,5000001,6000000,1000000,0.000000,0.000000,0.030377,0.969623,0.028663,0.971337
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,6000001,7000000,1000000,0.000000,0.000000,0.031841,0.968159,0.026277,0.973723
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,7000001,8000000,1000000,0.000000,0.000000,0.037033,0.962967,0.026747,0.973253
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,8000001,9000000,1000000,0.000000,0.000000,0.029331,0.970669,0.026668,0.973332
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,9000001,10000000,1000000,0.000000,0.000000,0.025185,0.974815,0.027662,0.972338
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,10000001,11000000,1000000,0.000000,0.000000,0.031184,0.968816,0.023742,0.976258
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,11000001,12000000,1000000,0.000000,0.000000,0.038567,0.961433,0.024754,0.975246
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,12000001,13000000,1000000,0.000000,0.000000,0.018370,0.981630,0.025739,0.974261
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,13000001,14000000,1000000,0.000000,0.000000,0.032164,0.967836,0.025782,0.974218
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,14000001,15000000,1000000,0.000000,0.000000,0.019086,0.980914,0.025327,0.974673
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,15000001,16000000,1000000,0.000000,0.000000,0.042101,0.957899,0.023948,0.976052
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,16000001,17000000,1000000,0.000000,0.000000,0.039177,0.960823,0.024505,0.975495
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,17000001,18000000,1000000,0.000000,0.000000,0.025679,0.974321,0.023889,0.976111
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,18000001,19000000,1000000,0.000000,0.000000,0.021734,0.978266,0.026018,0.973982
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,19000001,20000000,1000000,0.000000,0.000000,0.030030,0.969970,0.025368,0.974632
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,20000001,21000000,1000000,0.000000,0.000000,0.043746,0.956254,0.025638,0.974362
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,21000001,22000000,1000000,0.000000,0.000000,0.012390,0.987610,0.025618,0.974382
hg002#M#chrX_MATERNAL,mPonPyg2#1#chrX_hap1_hsaX,X,22000001,23000000,1000000,0.000000,0.000000,0.027894,0.972106,0.031899,0.968101
