NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,1,1000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,1000001,2000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,2000001,3000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,5000001,6000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,6000001,7000000,1000000,0.000000,0.000000,0.922511,0.077489,0.044987,0.955013
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,7000001,8000000,1000000,0.000000,0.000000,0.174624,0.825376,0.040686,0.959314
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,8000001,9000000,1000000,0.000000,0.000000,0.110473,0.889527,0.031131,0.968869
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,9000001,10000000,1000000,0.000000,0.000000,0.216954,0.783046,0.021155,0.978845
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,10000001,11000000,1000000,0.000000,0.000000,0.252808,0.747192,0.026840,0.973160
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,11000001,12000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,12000001,13000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,13000001,14000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,14000001,15000000,1000000,0.000000,0.000000,0.981266,0.018734,0.154799,0.845201
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,15000001,16000000,1000000,0.000000,0.000000,0.684546,0.315454,0.092080,0.907920
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,16000001,17000000,1000000,0.000000,0.000000,0.445453,0.554547,0.033532,0.966468
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,17000001,18000000,1000000,0.000000,0.000000,0.760795,0.239205,0.032278,0.967722
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,18000001,19000000,1000000,0.000000,0.000000,0.218529,0.781471,0.037925,0.962075
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,19000001,20000000,1000000,0.000000,0.000000,0.765588,0.234412,0.045655,0.954345
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,20000001,21000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,21000001,22000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,22000001,23000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,23000001,24000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,24000001,25000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,25000001,26000000,1000000,0.000000,0.000000,0.413879,0.586121,0.034268,0.965732
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,26000001,27000000,1000000,0.000000,0.000000,0.171129,0.828871,0.023463,0.976537
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,27000001,28000000,1000000,0.000000,0.000000,0.096176,0.903824,0.023768,0.976232
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,28000001,29000000,1000000,0.000000,0.000000,0.062755,0.937245,0.024754,0.975246
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,29000001,30000000,1000000,0.000000,0.000000,0.048450,0.951550,0.025063,0.974937
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,30000001,31000000,1000000,0.000000,0.000000,0.127558,0.872442,0.023618,0.976382
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,31000001,32000000,1000000,0.000000,0.000000,0.101940,0.898060,0.022831,0.977169
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,32000001,33000000,1000000,0.000000,0.000000,0.736468,0.263532,0.123875,0.876125
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,33000001,34000000,1000000,0.000000,0.000000,0.556835,0.443165,0.082331,0.917669
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,34000001,35000000,1000000,0.000000,0.000000,0.548536,0.451464,0.089318,0.910682
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,35000001,36000000,1000000,0.000000,0.000000,0.875950,0.124050,0.027529,0.972471
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,36000001,37000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,37000001,38000000,1000000,0.000000,0.000000,0.904691,0.095309,0.225509,0.774491
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,38000001,39000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,39000001,40000000,1000000,0.000000,0.000000,0.953887,0.046113,0.227224,0.772776
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,40000001,41000000,1000000,0.000000,0.000000,0.879541,0.120459,0.224807,0.775193
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,41000001,42000000,1000000,0.000000,0.000000,0.785830,0.214170,0.035883,0.964117
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,42000001,43000000,1000000,0.000000,0.000000,0.159040,0.840960,0.024572,0.975428
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,43000001,44000000,1000000,0.000000,0.000000,0.065226,0.934774,0.029966,0.970034
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,44000001,45000000,1000000,0.000000,0.000000,0.755145,0.244855,0.029675,0.970325
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,45000001,46000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,46000001,47000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,47000001,48000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,48000001,49000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,49000001,50000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,50000001,51000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,51000001,52000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,52000001,53000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,53000001,54000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,54000001,55000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,55000001,56000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,56000001,57000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,57000001,58000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,58000001,59000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,59000001,60000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,60000001,61000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,61000001,62000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,62000001,63000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,63000001,64000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,64000001,65000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,65000001,66000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,66000001,67000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,67000001,68000000,405748,0.000000,0.000000,1.000000,0.000000,NA,NA
