NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,DIFF,SAME
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,1,1000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,1000001,2000000,1000000,0.651346,0.000000,0.302205,0.046449,0.001313,0.998687
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,2000001,3000000,1000000,0.348654,0.000000,0.324375,0.326971,0.000804,0.999196
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,3000001,4000000,1000000,0.000000,0.000000,0.987253,0.012747,0.000784,0.999216
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,5000001,6000000,1000000,0.000000,0.000000,0.947677,0.052323,0.002083,0.997917
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,6000001,7000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,7000001,8000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,8000001,9000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,9000001,10000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,10000001,11000000,1000000,0.000000,0.000000,0.890356,0.109644,0.002818,0.997182
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,11000001,12000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,12000001,13000000,1000000,0.000000,0.000000,0.686221,0.313779,0.006186,0.993814
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,13000001,14000000,1000000,0.000000,0.000000,0.569469,0.430531,0.008485,0.991515
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,14000001,15000000,1000000,0.000000,0.000000,0.077990,0.922010,0.001339,0.998661
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,15000001,16000000,1000000,0.000000,0.000000,0.009876,0.990124,0.001354,0.998646
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,16000001,17000000,1000000,0.000000,0.000000,0.000489,0.999511,0.001295,0.998705
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,17000001,18000000,1000000,0.000000,0.000000,0.000627,0.999373,0.001050,0.998950
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,18000001,19000000,1000000,0.000000,0.000000,0.004409,0.995591,0.001058,0.998942
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,19000001,20000000,1000000,0.000000,0.000000,0.003788,0.996212,0.001898,0.998102
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,20000001,21000000,1000000,0.000000,0.000000,0.000560,0.999440,0.001547,0.998453
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,21000001,22000000,1000000,0.000000,0.000000,0.003398,0.996602,0.001076,0.998924
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,22000001,23000000,1000000,0.000000,0.000000,0.003011,0.996989,0.001160,0.998840
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,23000001,24000000,1000000,0.000000,0.000000,0.010802,0.989198,0.001247,0.998753
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,24000001,25000000,1000000,0.000000,0.000000,0.003169,0.996831,0.001247,0.998753
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,25000001,26000000,1000000,0.000000,0.000000,0.000479,0.999521,0.001009,0.998991
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,26000001,27000000,1000000,0.000000,0.000000,0.000512,0.999488,0.000854,0.999146
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,27000001,28000000,1000000,0.000000,0.000000,0.000528,0.999472,0.000813,0.999187
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,28000001,29000000,1000000,0.000000,0.000000,0.000467,0.999533,0.000974,0.999026
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,29000001,30000000,1000000,0.000000,0.000000,0.000660,0.999340,0.000919,0.999081
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,30000001,31000000,1000000,0.000000,0.000000,0.000874,0.999126,0.001458,0.998542
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,31000001,32000000,1000000,0.000000,0.000000,0.001214,0.998786,0.001202,0.998798
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,32000001,33000000,1000000,0.000000,0.000000,0.000539,0.999461,0.000669,0.999331
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,33000001,34000000,1000000,0.000000,0.000000,0.000454,0.999546,0.000569,0.999431
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,34000001,35000000,1000000,0.000000,0.000000,0.001172,0.998828,0.000712,0.999288
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,35000001,36000000,1000000,0.000000,0.000000,0.004413,0.995587,0.000704,0.999296
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,36000001,37000000,1000000,0.000000,0.000000,0.006398,0.993602,0.000682,0.999318
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,37000001,38000000,1000000,0.000000,0.000000,0.000461,0.999539,0.000594,0.999406
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,38000001,39000000,1000000,0.000000,0.000000,0.000456,0.999544,0.000716,0.999284
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,39000001,40000000,1000000,0.000000,0.000000,0.001021,0.998979,0.001023,0.998977
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,40000001,41000000,1000000,0.000000,0.000000,0.003759,0.996241,0.001110,0.998890
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,41000001,42000000,1000000,0.000000,0.000000,0.001843,0.998157,0.001136,0.998864
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,42000001,43000000,1000000,0.000000,0.000000,0.000414,0.999586,0.000863,0.999137
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,43000001,44000000,1000000,0.000000,0.000000,0.004641,0.995359,0.001157,0.998843
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,44000001,45000000,1000000,0.000000,0.000000,0.004515,0.995485,0.001058,0.998942
mPanTro3#1#chr22_hap1_hsa21,mPanTro3#2#chr22_hap2_hsa21,22,45000001,46000000,1000000,0.000000,0.000000,0.024700,0.975300,0.000961,0.999039
