NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,1,1000000,1000000,0.000000,0.000000,0.251283,0.748717,0.043551,0.956449
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,1000001,2000000,1000000,0.000000,0.000000,0.185947,0.814053,0.037165,0.962835
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,2000001,3000000,1000000,0.000000,0.000000,0.085959,0.914041,0.039991,0.960009
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,3000001,4000000,1000000,0.000000,0.000000,0.049339,0.950661,0.039504,0.960496
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,4000001,5000000,1000000,0.000000,0.000000,0.044453,0.955547,0.035341,0.964659
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,5000001,6000000,1000000,0.000000,0.000000,0.025244,0.974756,0.030023,0.969977
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,6000001,7000000,1000000,0.000000,0.000000,0.061510,0.938490,0.037471,0.962529
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,7000001,8000000,1000000,0.000000,0.000000,0.042128,0.957872,0.035067,0.964933
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,8000001,9000000,1000000,0.000000,0.000000,0.047757,0.952243,0.034890,0.965110
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,9000001,10000000,1000000,0.000000,0.000000,0.035428,0.964572,0.035437,0.964563
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,10000001,11000000,1000000,0.000000,0.000000,0.156856,0.843144,0.035917,0.964083
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,11000001,12000000,1000000,0.000000,0.000000,0.033803,0.966197,0.034499,0.965501
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,12000001,13000000,1000000,0.000000,0.000000,0.033249,0.966751,0.035328,0.964672
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,13000001,14000000,1000000,0.000000,0.000000,0.049477,0.950523,0.034589,0.965411
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,14000001,15000000,1000000,0.000000,0.000000,0.020820,0.979180,0.032745,0.967255
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,15000001,16000000,1000000,0.000000,0.000000,0.050240,0.949760,0.034077,0.965923
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,16000001,17000000,1000000,0.000000,0.000000,0.028640,0.971360,0.033354,0.966646
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,17000001,18000000,1000000,0.000000,0.000000,0.030629,0.969371,0.033584,0.966416
mPonAbe1#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,18000001,19000000,1000000,0.000000,0.000000,0.029887,0.970113,0.035190,0.964810
