NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,1,1000000,1000000,0.000000,0.000000,0.167475,0.832525,0.035512,0.964488
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,1000001,2000000,1000000,0.000000,0.000000,0.074394,0.925606,0.027386,0.972614
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,2000001,3000000,1000000,0.000000,0.000000,0.027286,0.972714,0.013938,0.986062
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,3000001,4000000,1000000,0.000000,0.000000,0.013393,0.986607,0.012248,0.987752
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,4000001,5000000,1000000,0.000000,0.000000,0.049046,0.950954,0.012707,0.987293
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,5000001,6000000,1000000,0.000000,0.000000,0.025196,0.974804,0.011061,0.988939
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,6000001,7000000,1000000,0.000000,0.000000,0.027596,0.972404,0.008462,0.991538
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,7000001,8000000,1000000,0.000000,0.000000,0.012822,0.987178,0.009918,0.990082
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,8000001,9000000,1000000,0.000000,0.000000,0.020513,0.979487,0.010368,0.989632
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,9000001,10000000,1000000,0.000000,0.000000,0.013928,0.986072,0.009760,0.990240
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,10000001,11000000,1000000,0.000000,0.000000,0.006640,0.993360,0.007799,0.992201
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,11000001,12000000,1000000,0.000000,0.000000,0.024182,0.975818,0.007875,0.992125
hg002#M#chrX_MATERNAL,mPanPan1#M#chrX_mat_hsaX,X,12000001,13000000,1000000,0.000000,0.000000,0.008586,0.991414,0.009354,0.990646
