NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,DIFF,SAME
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,1,1000000,1000000,0.000000,0.000000,0.948399,0.051601,0.042131,0.957869
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,1000001,2000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,2000001,3000000,1000000,0.000000,0.000000,0.971675,0.028325,0.081447,0.918553
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,4000001,5000000,1000000,0.000000,0.000000,0.964552,0.035448,0.073290,0.926710
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,5000001,6000000,1000000,0.000000,0.000000,0.752841,0.247159,0.018235,0.981765
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,6000001,7000000,1000000,0.000000,0.000000,0.960092,0.039908,0.046056,0.953944
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,7000001,8000000,1000000,0.000000,0.000000,0.494405,0.505595,0.005103,0.994897
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,8000001,9000000,1000000,0.000000,0.000000,0.063577,0.936423,0.001611,0.998389
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,9000001,10000000,1000000,0.000000,0.000000,0.000565,0.999435,0.001092,0.998908
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,10000001,11000000,1000000,0.000000,0.000000,0.000619,0.999381,0.001131,0.998869
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,11000001,12000000,1000000,0.000000,0.000000,0.000679,0.999321,0.001090,0.998910
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,12000001,13000000,1000000,0.000000,0.000000,0.002686,0.997314,0.001234,0.998766
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,13000001,14000000,1000000,0.000000,0.000000,0.000630,0.999370,0.000964,0.999036
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,14000001,15000000,1000000,0.000000,0.000000,0.000636,0.999364,0.000923,0.999077
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,15000001,16000000,1000000,0.000000,0.000000,0.011386,0.988614,0.001112,0.998888
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,16000001,17000000,1000000,0.000000,0.000000,0.000751,0.999249,0.000914,0.999086
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,17000001,18000000,1000000,0.000000,0.000000,0.000633,0.999367,0.001097,0.998903
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,18000001,19000000,1000000,0.000000,0.000000,0.007506,0.992494,0.001337,0.998663
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,19000001,20000000,1000000,0.000000,0.000000,0.014140,0.985860,0.000945,0.999055
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,20000001,21000000,1000000,0.000000,0.000000,0.003674,0.996326,0.001078,0.998922
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,21000001,22000000,1000000,0.000000,0.000000,0.000605,0.999395,0.001045,0.998955
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,22000001,23000000,1000000,0.000000,0.000000,0.000919,0.999081,0.001095,0.998905
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,23000001,24000000,1000000,0.000000,0.000000,0.000647,0.999353,0.000851,0.999149
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,24000001,25000000,1000000,0.000000,0.000000,0.004959,0.995041,0.000914,0.999086
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,25000001,26000000,1000000,0.000000,0.000000,0.001159,0.998841,0.000869,0.999131
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,26000001,27000000,1000000,0.000000,0.000000,0.000896,0.999104,0.000981,0.999019
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,27000001,28000000,1000000,0.000000,0.000000,0.001074,0.998926,0.000864,0.999136
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,28000001,29000000,1000000,0.000000,0.000000,0.002608,0.997392,0.001105,0.998895
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,29000001,30000000,1000000,0.000000,0.000000,0.001544,0.998456,0.001032,0.998968
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,30000001,31000000,1000000,0.000000,0.000000,0.001116,0.998884,0.001075,0.998925
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,31000001,32000000,1000000,0.000000,0.000000,0.000481,0.999519,0.000780,0.999220
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,32000001,33000000,1000000,0.000000,0.000000,0.000463,0.999537,0.000864,0.999136
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,33000001,34000000,1000000,0.000000,0.000000,0.000966,0.999034,0.001380,0.998620
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,34000001,35000000,1000000,0.000000,0.000000,0.000676,0.999324,0.000765,0.999235
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,35000001,36000000,1000000,0.000000,0.000000,0.000812,0.999188,0.001175,0.998825
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,36000001,37000000,1000000,0.000000,0.000000,0.003344,0.996656,0.001640,0.998360
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,37000001,38000000,1000000,0.000000,0.000000,0.001256,0.998744,0.001132,0.998868
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,38000001,39000000,1000000,0.000000,0.000000,0.033482,0.966518,0.002664,0.997336
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,39000001,40000000,1000000,0.000000,0.000000,0.011201,0.988799,0.001516,0.998484
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,40000001,41000000,1000000,0.000000,0.000000,0.126116,0.873884,0.004174,0.995826
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,41000001,42000000,1000000,0.000000,0.000000,0.463350,0.536650,0.027767,0.972233
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,42000001,43000000,1000000,0.000000,0.000000,0.430318,0.569682,0.020232,0.979768
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,43000001,44000000,1000000,0.000000,0.000000,0.374194,0.625806,0.017970,0.982030
mPanPan1#M#chr22_mat_hsa21,mPanPan1#P#chr22_pat_hsa21,22,44000001,45000000,445573,0.000000,0.000000,0.112563,0.887437,0.012200,0.987800
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,1,1000000,1000000,0.000000,0.000000,0.978284,0.021716,0.002441,0.997559
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,1000001,2000000,1000000,0.383280,0.000000,0.533804,0.082916,0.002979,0.997021
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,2000001,3000000,1000000,0.616720,0.000000,0.283531,0.099749,0.005033,0.994967
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,4000001,5000000,1000000,0.000000,0.000000,0.881682,0.118318,0.025643,0.974357
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,5000001,6000000,1000000,0.000000,0.000000,0.897315,0.102685,0.028076,0.971924
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,6000001,7000000,1000000,0.000000,0.000000,0.926489,0.073511,0.042211,0.957789
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,7000001,8000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,8000001,9000000,1000000,0.000000,0.000000,0.829558,0.170442,0.037943,0.962057
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,9000001,10000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,10000001,11000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,11000001,12000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,12000001,13000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,13000001,14000000,1000000,0.000000,0.000000,0.945419,0.054581,0.002840,0.997160
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,14000001,15000000,1000000,0.000000,0.000000,0.426415,0.573585,0.029696,0.970304
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,15000001,16000000,1000000,0.000000,0.000000,0.525513,0.474487,0.042269,0.957731
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,16000001,17000000,1000000,0.000000,0.000000,0.540036,0.459964,0.038277,0.961723
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,17000001,18000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,18000001,19000000,1000000,0.000000,0.000000,0.624236,0.375764,0.029819,0.970181
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,19000001,20000000,1000000,0.000000,0.000000,0.858331,0.141669,0.058891,0.941109
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,20000001,21000000,1000000,0.000000,0.000000,0.877324,0.122676,0.030911,0.969089
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,21000001,22000000,1000000,0.000000,0.000000,0.887303,0.112697,0.090952,0.909048
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,22000001,23000000,1000000,0.000000,0.000000,0.731714,0.268286,0.052999,0.947001
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,23000001,24000000,1000000,0.000000,0.000000,0.576683,0.423317,0.037379,0.962621
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,24000001,25000000,1000000,0.000000,0.000000,0.724490,0.275510,0.054016,0.945984
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,25000001,26000000,1000000,0.000000,0.000000,0.236457,0.763543,0.005236,0.994764
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,26000001,27000000,1000000,0.000000,0.000000,0.465275,0.534725,0.005536,0.994464
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,27000001,28000000,1000000,0.000000,0.000000,0.302783,0.697217,0.006622,0.993378
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,28000001,29000000,1000000,0.000000,0.000000,0.847138,0.152862,0.010918,0.989082
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,29000001,30000000,1000000,0.000000,0.000000,0.389835,0.610165,0.030964,0.969036
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,30000001,31000000,1000000,0.000000,0.000000,0.818035,0.181965,0.030913,0.969087
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,31000001,32000000,1000000,0.000000,0.000000,0.481503,0.518497,0.001944,0.998056
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,32000001,33000000,1000000,0.000000,0.000000,0.002677,0.997323,0.001339,0.998661
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,33000001,34000000,1000000,0.000000,0.000000,0.001065,0.998935,0.000736,0.999264
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,34000001,35000000,1000000,0.000000,0.000000,0.001133,0.998867,0.001047,0.998953
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,35000001,36000000,1000000,0.000000,0.000000,0.002529,0.997471,0.000919,0.999081
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,36000001,37000000,1000000,0.000000,0.000000,0.001503,0.998497,0.001062,0.998938
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,37000001,38000000,1000000,0.000000,0.000000,0.231912,0.768088,0.001012,0.998988
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,38000001,39000000,1000000,0.000000,0.000000,0.005447,0.994553,0.001731,0.998269
mPanPan1#M#chr23_mat_hsa22,mPanPan1#P#chr23_pat_hsa22,23,39000001,40000000,1000000,0.000000,0.000000,0.001843,0.998157,0.000952,0.999048
