NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,1,1000000,1000000,0.000000,0.000000,0.305565,0.694435,0.072923,0.927077
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,1000001,2000000,1000000,0.000000,0.000000,0.206471,0.793529,0.064053,0.935947
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,2000001,3000000,1000000,0.000000,0.000000,0.337429,0.662571,0.043645,0.956355
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,5000001,6000000,1000000,0.000000,0.000000,0.945310,0.054690,0.063558,0.936442
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,6000001,7000000,1000000,0.000000,0.000000,0.465539,0.534461,0.057909,0.942091
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,7000001,8000000,1000000,0.000000,0.000000,0.526526,0.473474,0.073449,0.926551
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,8000001,9000000,1000000,0.000000,0.000000,0.338884,0.661116,0.078983,0.921017
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,9000001,10000000,1000000,0.000000,0.000000,0.534647,0.465353,0.100165,0.899835
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,10000001,11000000,1000000,0.000000,0.000000,0.519030,0.480970,0.098125,0.901875
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,11000001,12000000,1000000,0.000000,0.000000,0.839362,0.160638,0.210816,0.789184
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,12000001,13000000,1000000,0.000000,0.000000,0.961836,0.038164,0.177995,0.822005
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,13000001,14000000,1000000,0.000000,0.000000,0.346751,0.653249,0.051198,0.948802
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,14000001,15000000,1000000,0.000000,0.000000,0.305107,0.694893,0.051536,0.948464
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,15000001,16000000,1000000,0.000000,0.000000,0.396235,0.603765,0.058385,0.941615
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,16000001,17000000,1000000,0.000000,0.000000,0.310186,0.689814,0.066076,0.933924
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,17000001,18000000,1000000,0.000000,0.000000,0.227369,0.772631,0.061005,0.938995
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,18000001,19000000,1000000,0.000000,0.000000,0.189938,0.810062,0.078279,0.921721
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,19000001,20000000,1000000,0.000000,0.000000,0.342385,0.657615,0.074375,0.925625
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,20000001,21000000,1000000,0.000000,0.000000,0.168208,0.831792,0.065704,0.934296
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,21000001,22000000,1000000,0.000000,0.000000,0.462732,0.537268,0.060631,0.939369
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,22000001,23000000,1000000,0.000000,0.000000,0.483685,0.516315,0.079341,0.920659
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,23000001,24000000,1000000,0.000000,0.000000,0.487928,0.512072,0.073587,0.926413
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,24000001,25000000,1000000,0.000000,0.000000,0.486405,0.513595,0.079802,0.920198
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,25000001,26000000,1000000,0.000000,0.000000,0.486603,0.513397,0.072871,0.927129
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,26000001,27000000,1000000,0.000000,0.000000,0.673220,0.326780,0.090357,0.909643
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,27000001,28000000,1000000,0.000000,0.000000,0.904835,0.095165,0.202995,0.797005
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,28000001,29000000,1000000,0.000000,0.000000,0.954863,0.045137,0.175466,0.824534
hg002#P#chrY_PATERNAL,mPonAbe1#2#chrY_hap2_hsaY,Y,29000001,30000000,1000000,0.000000,0.000000,0.984741,0.015259,0.178255,0.821745
