NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,1,1000000,1000000,0.000000,0.000000,0.756156,0.243844,0.038389,0.961611
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,1000001,2000000,1000000,0.000000,0.000000,0.165786,0.834214,0.033467,0.966533
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,2000001,3000000,1000000,0.000000,0.000000,0.090459,0.909541,0.023878,0.976122
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,3000001,4000000,1000000,0.000000,0.000000,0.151602,0.848398,0.012364,0.987636
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,4000001,5000000,1000000,0.000000,0.000000,0.033165,0.966835,0.012481,0.987519
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,5000001,6000000,1000000,0.000000,0.000000,0.033068,0.966932,0.012906,0.987094
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,6000001,7000000,1000000,0.000000,0.000000,0.027816,0.972184,0.010707,0.989293
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,7000001,8000000,1000000,0.000000,0.000000,0.008079,0.991921,0.008342,0.991658
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,8000001,9000000,1000000,0.000000,0.000000,0.091469,0.908531,0.010067,0.989933
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,9000001,10000000,1000000,0.000000,0.000000,0.066977,0.933023,0.010549,0.989451
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,10000001,11000000,1000000,0.000000,0.000000,0.005330,0.994670,0.009797,0.990203
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,11000001,12000000,1000000,0.000000,0.000000,0.003667,0.996333,0.007828,0.992172
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,12000001,13000000,1000000,0.000000,0.000000,0.010756,0.989244,0.007894,0.992106
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,13000001,14000000,1000000,0.000000,0.000000,0.003730,0.996270,0.009372,0.990628
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,14000001,15000000,1000000,0.000000,0.000000,0.004135,0.995865,0.008171,0.991829
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,15000001,16000000,1000000,0.000000,0.000000,0.022268,0.977732,0.009381,0.990619
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,16000001,17000000,1000000,0.000000,0.000000,0.007801,0.992199,0.008749,0.991251
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,17000001,18000000,1000000,0.000000,0.000000,0.012569,0.987431,0.008492,0.991508
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,18000001,19000000,1000000,0.000000,0.000000,0.013479,0.986521,0.007851,0.992149
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,19000001,20000000,1000000,0.000000,0.000000,0.010001,0.989999,0.008807,0.991193
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,20000001,21000000,1000000,0.000000,0.000000,0.012424,0.987576,0.007984,0.992016
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,21000001,22000000,1000000,0.000000,0.000000,0.015575,0.984425,0.008566,0.991434
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,22000001,23000000,1000000,0.000000,0.000000,0.004963,0.995037,0.008932,0.991068
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,23000001,24000000,1000000,0.000000,0.000000,0.011710,0.988290,0.013838,0.986162
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,24000001,25000000,1000000,0.000000,0.000000,0.011839,0.988161,0.010858,0.989142
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,25000001,26000000,1000000,0.000000,0.000000,0.003572,0.996428,0.007987,0.992013
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,26000001,27000000,1000000,0.000000,0.000000,0.013128,0.986872,0.010296,0.989704
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,27000001,28000000,1000000,0.000000,0.000000,0.009792,0.990208,0.008630,0.991370
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,28000001,29000000,1000000,0.000000,0.000000,0.014595,0.985405,0.009623,0.990377
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,29000001,30000000,1000000,0.000000,0.000000,0.013684,0.986316,0.010901,0.989099
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,30000001,31000000,1000000,0.000000,0.000000,0.006390,0.993610,0.011110,0.988890
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,31000001,32000000,1000000,0.000000,0.000000,0.023362,0.976638,0.010270,0.989730
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,32000001,33000000,1000000,0.000000,0.000000,0.010001,0.989999,0.013667,0.986333
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,33000001,34000000,1000000,0.000000,0.000000,0.016393,0.983607,0.015909,0.984091
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,34000001,35000000,1000000,0.000000,0.000000,0.070977,0.929023,0.009749,0.990251
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,35000001,36000000,1000000,0.000000,0.000000,0.008988,0.991012,0.010310,0.989690
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,36000001,37000000,1000000,0.000000,0.000000,0.014223,0.985777,0.010430,0.989570
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,37000001,38000000,1000000,0.000000,0.000000,0.030664,0.969336,0.011642,0.988358
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,38000001,39000000,1000000,0.000000,0.000000,0.009483,0.990517,0.008890,0.991110
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,39000001,40000000,1000000,0.000000,0.000000,0.005607,0.994393,0.008360,0.991640
mPanTro3#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,40000001,41000000,1000000,0.000000,0.000000,0.004036,0.995964,0.008122,0.991878
