NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,1,1000000,1000000,0.000000,0.000000,0.727191,0.272809,0.014970,0.985030
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,1000001,2000000,1000000,0.000000,0.000000,0.075342,0.924658,0.012345,0.987655
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,2000001,3000000,1000000,0.000000,0.000000,0.031590,0.968410,0.009219,0.990781
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,3000001,4000000,1000000,0.000000,0.000000,0.009330,0.990670,0.004165,0.995835
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,4000001,5000000,1000000,0.000000,0.000000,0.009993,0.990007,0.004657,0.995343
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,5000001,6000000,1000000,0.000000,0.000000,0.004171,0.995829,0.004263,0.995737
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,6000001,7000000,1000000,0.000000,0.000000,0.001959,0.998041,0.002871,0.997129
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,7000001,8000000,1000000,0.000000,0.000000,0.004510,0.995490,0.003151,0.996849
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,8000001,9000000,1000000,0.000000,0.000000,0.003862,0.996138,0.003178,0.996822
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,9000001,10000000,1000000,0.000000,0.000000,0.018302,0.981698,0.003534,0.996466
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,10000001,11000000,1000000,0.000000,0.000000,0.004394,0.995606,0.003109,0.996891
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,11000001,12000000,1000000,0.000000,0.000000,0.001947,0.998053,0.002309,0.997691
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,12000001,13000000,1000000,0.000000,0.000000,0.006710,0.993290,0.002319,0.997681
mPanTro3#1#chrX_hap1_hsaX,mPanPan1#M#chrX_mat_hsaX,X,13000001,14000000,1000000,0.000000,0.000000,0.005610,0.994390,0.002546,0.997454
