NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,1,1000000,1000000,0.000000,0.000000,0.331412,0.668588,0.017043,0.982957
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,1000001,2000000,1000000,0.000000,0.000000,0.023593,0.976407,0.015639,0.984361
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,2000001,3000000,1000000,0.000000,0.000000,0.034878,0.965122,0.014645,0.985355
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,3000001,4000000,1000000,0.000000,0.000000,0.029361,0.970639,0.015862,0.984138
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,4000001,5000000,1000000,0.000000,0.000000,0.028353,0.971647,0.014606,0.985394
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,5000001,6000000,1000000,0.000000,0.000000,0.011744,0.988256,0.011028,0.988972
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,6000001,7000000,1000000,0.000000,0.000000,0.007911,0.992089,0.014781,0.985219
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,7000001,8000000,1000000,0.000000,0.000000,0.010057,0.989943,0.013961,0.986039
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,8000001,9000000,1000000,0.000000,0.000000,0.030198,0.969802,0.014347,0.985653
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,9000001,10000000,1000000,0.000000,0.000000,0.006890,0.993110,0.013830,0.986170
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,10000001,11000000,1000000,0.000000,0.000000,0.012255,0.987745,0.014918,0.985082
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,11000001,12000000,1000000,0.000000,0.000000,0.012953,0.987047,0.013758,0.986242
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,12000001,13000000,1000000,0.000000,0.000000,0.009751,0.990249,0.013358,0.986642
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,13000001,14000000,1000000,0.000000,0.000000,0.015622,0.984378,0.012865,0.987135
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,14000001,15000000,1000000,0.000000,0.000000,0.014385,0.985615,0.013080,0.986920
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,15000001,16000000,1000000,0.000000,0.000000,0.019255,0.980745,0.012946,0.987054
mPanTro3#1#chr1_hap1_hsa1,hg002#M#chr1_MATERNAL,1,16000001,17000000,1000000,0.000000,0.000000,0.009069,0.990931,0.012081,0.987919
