NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,DIFF,SAME
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,1,1000000,1000000,0.000000,0.000000,0.416019,0.583981,0.002642,0.997358
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,1000001,2000000,1000000,0.000000,0.000000,0.357753,0.642247,0.005035,0.994965
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,2000001,3000000,1000000,0.282618,0.000000,0.308462,0.408920,0.008253,0.991747
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,3000001,4000000,1000000,1.000000,0.000000,0.000000,0.000000,NA,NA
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,4000001,5000000,1000000,1.000000,0.000000,0.000000,0.000000,NA,NA
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,5000001,6000000,1000000,1.000000,0.000000,0.000000,0.000000,NA,NA
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,6000001,7000000,1000000,1.000000,0.000000,0.000000,0.000000,NA,NA
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,7000001,8000000,1000000,1.000000,0.000000,0.000000,0.000000,NA,NA
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,8000001,9000000,1000000,0.063143,0.000000,0.134481,0.802376,0.000819,0.999181
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,9000001,10000000,1000000,0.000000,0.000000,0.174596,0.825404,0.003373,0.996627
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,10000001,11000000,1000000,0.000000,0.000000,0.003612,0.996388,0.000306,0.999694
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,11000001,12000000,1000000,0.000000,0.000000,0.027180,0.972820,0.001062,0.998938
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,12000001,13000000,1000000,0.000000,0.000000,0.000329,0.999671,0.001527,0.998473
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,13000001,14000000,1000000,0.000000,0.000000,0.003693,0.996307,0.001166,0.998834
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,14000001,15000000,1000000,0.000000,0.000000,0.140011,0.859989,0.001460,0.998540
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,15000001,16000000,1000000,0.000000,0.000000,0.384499,0.615501,0.020788,0.979212
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,16000001,17000000,1000000,0.000000,0.000000,0.961417,0.038583,0.021693,0.978307
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,17000001,18000000,1000000,0.000000,0.000000,0.445953,0.554047,0.003973,0.996027
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,18000001,19000000,1000000,0.000000,0.000000,0.041186,0.958814,0.003512,0.996488
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,19000001,20000000,1000000,0.000000,0.000000,0.011315,0.988685,0.001177,0.998823
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,20000001,21000000,1000000,0.000000,0.000000,0.120316,0.879684,0.001216,0.998784
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,21000001,22000000,1000000,0.000000,0.000000,0.300756,0.699244,0.001572,0.998428
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,22000001,23000000,1000000,0.000000,0.000000,0.002659,0.997341,0.001326,0.998674
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,23000001,24000000,1000000,0.000000,0.000000,0.019821,0.980179,0.001471,0.998529
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,24000001,25000000,1000000,0.000000,0.000000,0.032738,0.967262,0.001220,0.998780
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,25000001,26000000,1000000,0.000000,0.000000,0.010913,0.989087,0.001082,0.998918
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,26000001,27000000,1000000,0.000000,0.000000,0.052609,0.947391,0.001334,0.998666
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,27000001,28000000,1000000,0.000000,0.000000,0.001008,0.998992,0.001145,0.998855
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,28000001,29000000,1000000,0.000000,0.000000,0.000565,0.999435,0.000938,0.999062
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,29000001,30000000,1000000,0.000000,0.000000,0.000990,0.999010,0.001415,0.998585
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,30000001,31000000,1000000,0.000000,0.000000,0.000592,0.999408,0.000703,0.999297
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,31000001,32000000,1000000,0.000000,0.000000,0.002850,0.997150,0.000738,0.999262
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,32000001,33000000,1000000,0.000000,0.000000,0.000745,0.999255,0.000783,0.999217
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,33000001,34000000,1000000,0.000000,0.000000,0.001387,0.998613,0.000544,0.999456
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,34000001,35000000,1000000,0.000000,0.000000,0.000268,0.999732,0.000418,0.999582
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,35000001,36000000,1000000,0.000000,0.000000,0.003923,0.996077,0.001175,0.998825
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,36000001,37000000,1000000,0.000000,0.000000,0.000499,0.999501,0.000705,0.999295
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,37000001,38000000,1000000,0.000000,0.000000,0.000166,0.999834,0.000251,0.999749
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,38000001,39000000,1000000,0.000000,0.000000,0.002631,0.997369,0.001021,0.998979
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,39000001,40000000,1000000,0.000000,0.000000,0.001065,0.998935,0.000912,0.999088
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,40000001,41000000,1000000,0.000000,0.000000,0.001075,0.998925,0.000910,0.999090
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,41000001,42000000,1000000,0.000000,0.000000,0.001037,0.998963,0.000856,0.999144
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,42000001,43000000,1000000,0.000000,0.000000,0.001560,0.998440,0.000620,0.999380
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,43000001,44000000,1000000,0.000000,0.000000,0.004239,0.995761,0.000352,0.999648
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,44000001,45000000,1000000,0.000000,0.000000,0.000784,0.999216,0.000632,0.999368
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,45000001,46000000,1000000,0.000000,0.000000,0.001083,0.998917,0.001158,0.998842
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,46000001,47000000,1000000,0.000000,0.000000,0.002924,0.997076,0.001265,0.998735
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,47000001,48000000,1000000,0.000000,0.000000,0.002067,0.997933,0.001431,0.998569
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,48000001,49000000,1000000,0.000000,0.000000,0.001091,0.998909,0.000857,0.999143
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,49000001,50000000,1000000,0.000000,0.000000,0.004554,0.995446,0.001677,0.998323
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,50000001,51000000,1000000,0.000000,0.000000,0.000629,0.999371,0.000601,0.999399
hg002#M#chr22_MATERNAL,hg002#P#chr22_PATERNAL,22,51000001,52000000,1000000,0.000000,0.000000,0.006115,0.993885,0.002291,0.997709
