NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,1,1000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,1000001,2000000,1000000,0.000000,0.000000,0.764314,0.235686,0.142647,0.857353
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,2000001,3000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,5000001,6000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,6000001,7000000,1000000,0.000000,0.000000,0.830230,0.169770,0.141592,0.858408
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,7000001,8000000,1000000,0.000000,0.000000,0.168224,0.831776,0.035874,0.964126
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,8000001,9000000,1000000,0.000000,0.000000,0.125682,0.874318,0.008310,0.991690
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,9000001,10000000,1000000,0.000000,0.000000,0.026096,0.973904,0.005035,0.994965
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,10000001,11000000,1000000,0.000000,0.000000,0.036272,0.963728,0.009193,0.990807
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,11000001,12000000,1000000,0.000000,0.000000,0.001627,0.998373,0.005418,0.994582
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,12000001,13000000,1000000,0.000000,0.000000,0.783874,0.216126,0.022820,0.977180
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,13000001,14000000,1000000,0.000000,0.000000,0.554538,0.445462,0.026168,0.973832
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,14000001,15000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,15000001,16000000,1000000,0.000000,0.000000,0.670687,0.329313,0.007012,0.992988
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,16000001,17000000,1000000,0.000000,0.000000,0.059283,0.940717,0.005030,0.994970
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,17000001,18000000,1000000,0.000000,0.000000,0.740424,0.259576,0.006827,0.993173
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,18000001,19000000,1000000,0.000000,0.000000,0.429250,0.570750,0.007066,0.992934
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,19000001,20000000,1000000,0.000000,0.000000,0.891846,0.108154,0.009949,0.990051
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,20000001,21000000,1000000,0.000000,0.000000,0.542316,0.457684,0.008246,0.991754
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,21000001,22000000,1000000,0.000000,0.000000,0.714094,0.285906,0.007919,0.992081
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,22000001,23000000,1000000,0.000000,0.000000,0.876444,0.123556,0.006289,0.993711
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,23000001,24000000,1000000,0.000000,0.000000,0.488275,0.511725,0.007596,0.992404
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,24000001,25000000,1000000,0.000000,0.000000,0.955369,0.044631,0.008604,0.991396
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,25000001,26000000,1000000,0.000000,0.000000,0.630222,0.369778,0.006801,0.993199
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,26000001,27000000,1000000,0.000000,0.000000,0.140004,0.859996,0.007279,0.992721
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,27000001,28000000,1000000,0.000000,0.000000,0.579092,0.420908,0.008239,0.991761
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,28000001,29000000,1000000,0.000000,0.000000,0.894641,0.105359,0.011646,0.988354
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,29000001,30000000,1000000,0.000000,0.000000,0.856344,0.143656,0.011089,0.988911
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,30000001,31000000,1000000,0.000000,0.000000,0.317920,0.682080,0.007873,0.992127
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,31000001,32000000,1000000,0.000000,0.000000,0.817116,0.182884,0.007852,0.992148
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,32000001,33000000,1000000,0.000000,0.000000,0.508910,0.491090,0.010790,0.989210
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,33000001,34000000,1000000,0.000000,0.000000,0.194082,0.805918,0.009049,0.990951
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,34000001,35000000,1000000,0.000000,0.000000,0.172970,0.827030,0.008117,0.991883
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,35000001,36000000,1000000,0.000000,0.000000,0.183903,0.816097,0.004295,0.995705
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,36000001,37000000,1000000,0.000000,0.000000,0.007816,0.992184,0.004529,0.995471
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,37000001,38000000,1000000,0.000000,0.000000,0.003994,0.996006,0.004538,0.995462
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,38000001,39000000,1000000,0.000000,0.000000,0.006340,0.993660,0.004337,0.995663
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,39000001,40000000,1000000,0.000000,0.000000,0.022540,0.977460,0.005161,0.994839
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,40000001,41000000,1000000,0.000000,0.000000,0.006775,0.993225,0.005233,0.994767
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,41000001,42000000,1000000,0.000000,0.000000,0.010790,0.989210,0.004967,0.995033
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,42000001,43000000,1000000,0.000000,0.000000,0.002185,0.997815,0.004565,0.995435
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,43000001,44000000,1000000,0.000000,0.000000,0.012942,0.987058,0.004756,0.995244
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,44000001,45000000,1000000,0.000000,0.000000,0.016133,0.983867,0.006225,0.993775
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,45000001,46000000,1000000,0.000000,0.000000,0.050932,0.949068,0.011640,0.988360
mPanPan1#P#chrY_pat_hsaY,mPanTro3#2#chrY_hap2_hsaY,Y,46000001,47000000,954669,0.000000,0.000000,0.134609,0.865391,0.014075,0.985925
