NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,1,1000000,1000000,0.000000,0.000000,0.010946,0.989054,0.003514,0.996486
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,1000001,2000000,1000000,0.000000,0.000000,0.010188,0.989812,0.002172,0.997828
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,2000001,3000000,1000000,0.000000,0.000000,0.022115,0.977885,0.003092,0.996908
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,3000001,4000000,1000000,0.000000,0.000000,0.009853,0.990147,0.003193,0.996807
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,4000001,5000000,1000000,0.000000,0.000000,0.004090,0.995910,0.001279,0.998721
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,5000001,6000000,1000000,0.000000,0.000000,0.006810,0.993190,0.000936,0.999064
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,6000001,7000000,1000000,0.000000,0.000000,0.002163,0.997837,0.002852,0.997148
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,7000001,8000000,1000000,0.000000,0.000000,0.007798,0.992202,0.002085,0.997915
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,8000001,9000000,1000000,0.000000,0.000000,0.002237,0.997763,0.003749,0.996251
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,9000001,10000000,1000000,0.000000,0.000000,0.001263,0.998737,0.002678,0.997322
mPonPyg2#1#chr1_hap1_hsa1,mPonPyg2#2#chr1_hap2_hsa1,1,10000001,11000000,1000000,0.000000,0.000000,0.000974,0.999026,0.001971,0.998029
