NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,1,1000000,1000000,0.000000,0.000000,0.260253,0.739747,0.007639,0.992361
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,1000001,2000000,1000000,0.000000,0.000000,0.006954,0.993046,0.005215,0.994785
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,2000001,3000000,1000000,0.000000,0.000000,0.014468,0.985532,0.006470,0.993530
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,3000001,4000000,1000000,0.000000,0.000000,0.015038,0.984962,0.006152,0.993848
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,4000001,5000000,1000000,0.000000,0.000000,0.020073,0.979927,0.004808,0.995192
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,5000001,6000000,1000000,0.000000,0.000000,0.008075,0.991925,0.003807,0.996193
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,6000001,7000000,1000000,0.000000,0.000000,0.003051,0.996949,0.004787,0.995213
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,7000001,8000000,1000000,0.000000,0.000000,0.005112,0.994888,0.004968,0.995032
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,8000001,9000000,1000000,0.000000,0.000000,0.004132,0.995868,0.005313,0.994687
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,9000001,10000000,1000000,0.000000,0.000000,0.002146,0.997854,0.004609,0.995391
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,10000001,11000000,1000000,0.000000,0.000000,0.005298,0.994702,0.005497,0.994503
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,11000001,12000000,1000000,0.000000,0.000000,0.011706,0.988294,0.005501,0.994499
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,12000001,13000000,1000000,0.000000,0.000000,0.012537,0.987463,0.004681,0.995319
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,13000001,14000000,1000000,0.000000,0.000000,0.005071,0.994929,0.004405,0.995595
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,14000001,15000000,1000000,0.000000,0.000000,0.005494,0.994506,0.003967,0.996033
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,15000001,16000000,1000000,0.000000,0.000000,0.013190,0.986810,0.005762,0.994238
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,16000001,17000000,1000000,0.000000,0.000000,0.013907,0.986093,0.004377,0.995623
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,17000001,18000000,1000000,0.000000,0.000000,0.002234,0.997766,0.003768,0.996232
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,18000001,19000000,1000000,0.000000,0.000000,0.005905,0.994095,0.003850,0.996150
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,19000001,20000000,1000000,0.000000,0.000000,0.008161,0.991839,0.004439,0.995561
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,20000001,21000000,1000000,0.000000,0.000000,0.155778,0.844222,0.004579,0.995421
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,21000001,22000000,1000000,0.000000,0.000000,0.010400,0.989600,0.003279,0.996721
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,22000001,23000000,1000000,0.000000,0.000000,0.005893,0.994107,0.003057,0.996943
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,23000001,24000000,1000000,0.000000,0.000000,0.004968,0.995032,0.003740,0.996260
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,24000001,25000000,1000000,0.000000,0.000000,0.004833,0.995167,0.003708,0.996292
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,25000001,26000000,1000000,0.000000,0.000000,0.004017,0.995983,0.004314,0.995686
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,26000001,27000000,1000000,0.000000,0.000000,0.008024,0.991976,0.005547,0.994453
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,27000001,28000000,1000000,0.000000,0.000000,0.001326,0.998674,0.003297,0.996703
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,28000001,29000000,1000000,0.000000,0.000000,0.005329,0.994671,0.004017,0.995983
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,29000001,30000000,1000000,0.000000,0.000000,0.001335,0.998665,0.003750,0.996250
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,30000001,31000000,1000000,0.000000,0.000000,0.005086,0.994914,0.003990,0.996010
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,31000001,32000000,1000000,0.000000,0.000000,0.004292,0.995708,0.004639,0.995361
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,32000001,33000000,1000000,0.000000,0.000000,0.001500,0.998500,0.004472,0.995528
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,33000001,34000000,1000000,0.000000,0.000000,0.002521,0.997479,0.004334,0.995666
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,34000001,35000000,1000000,0.000000,0.000000,0.001806,0.998194,0.003484,0.996516
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,35000001,36000000,1000000,0.000000,0.000000,0.002430,0.997570,0.003000,0.997000
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,36000001,37000000,1000000,0.000000,0.000000,0.010552,0.989448,0.003832,0.996168
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,37000001,38000000,1000000,0.000000,0.000000,0.005247,0.994753,0.003389,0.996611
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,38000001,39000000,1000000,0.000000,0.000000,0.006796,0.993204,0.004057,0.995943
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,39000001,40000000,1000000,0.000000,0.000000,0.001101,0.998899,0.003704,0.996296
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,40000001,41000000,1000000,0.000000,0.000000,0.001408,0.998592,0.004213,0.995787
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,41000001,42000000,1000000,0.000000,0.000000,0.001919,0.998081,0.003955,0.996045
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,42000001,43000000,1000000,0.000000,0.000000,0.003531,0.996469,0.003737,0.996263
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,43000001,44000000,1000000,0.000000,0.000000,0.002646,0.997354,0.003175,0.996825
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,44000001,45000000,1000000,0.000000,0.000000,0.007930,0.992070,0.003258,0.996742
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,45000001,46000000,1000000,0.000000,0.000000,0.005806,0.994194,0.003534,0.996466
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,46000001,47000000,1000000,0.000000,0.000000,0.004594,0.995406,0.003078,0.996922
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,47000001,48000000,1000000,0.000000,0.000000,0.001625,0.998375,0.003755,0.996245
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,48000001,49000000,1000000,0.000000,0.000000,0.002517,0.997483,0.003953,0.996047
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,49000001,50000000,1000000,0.000000,0.000000,0.008890,0.991110,0.004468,0.995532
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,50000001,51000000,1000000,0.000000,0.000000,0.004742,0.995258,0.004056,0.995944
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,51000001,52000000,1000000,0.000000,0.000000,0.005161,0.994839,0.003614,0.996386
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,52000001,53000000,1000000,0.000000,0.000000,0.002601,0.997399,0.004261,0.995739
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,53000001,54000000,1000000,0.000000,0.000000,0.003775,0.996225,0.005393,0.994607
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,54000001,55000000,1000000,0.000000,0.000000,0.003383,0.996617,0.004667,0.995333
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,55000001,56000000,1000000,0.000000,0.000000,0.004963,0.995037,0.004658,0.995342
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,56000001,57000000,1000000,0.000000,0.000000,0.002961,0.997039,0.003847,0.996153
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,57000001,58000000,1000000,0.000000,0.000000,0.021359,0.978641,0.004568,0.995432
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,58000001,59000000,1000000,0.000000,0.000000,0.003096,0.996904,0.005008,0.994992
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,59000001,60000000,1000000,0.000000,0.000000,0.021842,0.978158,0.005213,0.994787
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,60000001,61000000,1000000,0.000000,0.000000,0.006058,0.993942,0.003910,0.996090
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,61000001,62000000,1000000,0.000000,0.000000,0.001539,0.998461,0.003949,0.996051
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,62000001,63000000,1000000,0.000000,0.000000,0.003990,0.996010,0.003764,0.996236
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,63000001,64000000,1000000,0.000000,0.000000,0.003802,0.996198,0.003959,0.996041
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,64000001,65000000,1000000,0.000000,0.000000,0.002644,0.997356,0.003845,0.996155
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,65000001,66000000,1000000,0.000000,0.000000,0.001384,0.998616,0.003350,0.996650
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,66000001,67000000,1000000,0.000000,0.000000,0.001537,0.998463,0.003699,0.996301
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,67000001,68000000,1000000,0.000000,0.000000,0.021639,0.978361,0.004386,0.995614
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,68000001,69000000,1000000,0.000000,0.000000,0.001985,0.998015,0.003036,0.996964
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,69000001,70000000,1000000,0.000000,0.000000,0.006328,0.993672,0.003685,0.996315
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,70000001,71000000,1000000,0.000000,0.000000,0.002252,0.997748,0.002724,0.997276
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,71000001,72000000,1000000,0.000000,0.000000,0.001330,0.998670,0.004292,0.995708
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,72000001,73000000,1000000,0.000000,0.000000,0.003715,0.996285,0.003165,0.996835
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,73000001,74000000,1000000,0.000000,0.000000,0.001164,0.998836,0.003939,0.996061
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,74000001,75000000,1000000,0.000000,0.000000,0.001793,0.998207,0.003153,0.996847
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,75000001,76000000,1000000,0.000000,0.000000,0.002018,0.997982,0.003498,0.996502
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,76000001,77000000,1000000,0.000000,0.000000,0.002196,0.997804,0.003358,0.996642
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,77000001,78000000,1000000,0.000000,0.000000,0.009960,0.990040,0.003967,0.996033
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,78000001,79000000,1000000,0.000000,0.000000,0.001557,0.998443,0.004060,0.995940
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,79000001,80000000,1000000,0.000000,0.000000,0.004900,0.995100,0.004149,0.995851
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,80000001,81000000,1000000,0.000000,0.000000,0.006057,0.993943,0.004260,0.995740
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,81000001,82000000,1000000,0.000000,0.000000,0.001805,0.998195,0.003450,0.996550
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,82000001,83000000,1000000,0.000000,0.000000,0.012276,0.987724,0.004700,0.995300
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,83000001,84000000,1000000,0.000000,0.000000,0.002371,0.997629,0.004151,0.995849
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,84000001,85000000,1000000,0.000000,0.000000,0.007094,0.992906,0.004468,0.995532
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,85000001,86000000,1000000,0.000000,0.000000,0.001666,0.998334,0.004720,0.995280
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,86000001,87000000,1000000,0.000000,0.000000,0.003385,0.996615,0.004071,0.995929
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,87000001,88000000,1000000,0.000000,0.000000,0.010317,0.989683,0.003677,0.996323
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,88000001,89000000,1000000,0.000000,0.000000,0.005238,0.994762,0.004682,0.995318
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,89000001,90000000,1000000,0.000000,0.000000,0.006401,0.993599,0.004661,0.995339
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,90000001,91000000,1000000,0.000000,0.000000,0.001417,0.998583,0.004194,0.995806
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,91000001,92000000,1000000,0.000000,0.000000,0.015862,0.984138,0.005380,0.994620
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,92000001,93000000,1000000,0.000000,0.000000,0.001650,0.998350,0.003075,0.996925
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,93000001,94000000,1000000,0.000000,0.000000,0.004050,0.995950,0.002833,0.997167
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,94000001,95000000,1000000,0.000000,0.000000,0.007750,0.992250,0.003073,0.996927
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,95000001,96000000,1000000,0.000000,0.000000,0.002720,0.997280,0.003602,0.996398
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,96000001,97000000,1000000,0.000000,0.000000,0.039680,0.960320,0.003792,0.996208
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,97000001,98000000,1000000,0.000000,0.000000,0.003175,0.996825,0.003015,0.996985
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,98000001,99000000,1000000,0.000000,0.000000,0.003219,0.996781,0.002848,0.997152
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,99000001,100000000,1000000,0.000000,0.000000,0.014284,0.985716,0.003615,0.996385
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,100000001,101000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,101000001,102000000,1000000,0.000000,0.000000,0.868963,0.131037,0.011646,0.988354
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,102000001,103000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,103000001,104000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#1#chr1_hap1_hsa1,mPanPan1#M#chr1_mat_hsa1,1,104000001,105000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
