NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,1,1000000,1000000,0.000000,0.000000,0.211804,0.788196,0.035613,0.964387
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,1000001,2000000,1000000,0.000000,0.000000,0.093815,0.906185,0.028499,0.971501
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,2000001,3000000,1000000,0.000000,0.000000,0.301838,0.698162,0.016977,0.983023
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,5000001,6000000,1000000,0.000000,0.000000,0.975605,0.024395,0.143759,0.856241
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,6000001,7000000,1000000,0.000000,0.000000,0.385961,0.614039,0.027611,0.972389
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,7000001,8000000,1000000,0.000000,0.000000,0.270309,0.729691,0.027632,0.972368
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,8000001,9000000,1000000,0.000000,0.000000,0.779550,0.220450,0.152896,0.847104
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,9000001,10000000,1000000,0.000000,0.000000,0.859499,0.140501,0.028683,0.971317
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,10000001,11000000,1000000,0.000000,0.000000,0.646769,0.353231,0.076785,0.923215
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,11000001,12000000,1000000,0.000000,0.000000,0.568118,0.431882,0.045686,0.954314
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,12000001,13000000,1000000,0.000000,0.000000,0.709091,0.290909,0.026108,0.973892
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,13000001,14000000,1000000,0.000000,0.000000,0.020872,0.979128,0.016401,0.983599
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,14000001,15000000,1000000,0.000000,0.000000,0.055131,0.944869,0.017092,0.982908
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,15000001,16000000,1000000,0.000000,0.000000,0.047221,0.952779,0.017351,0.982649
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,16000001,17000000,1000000,0.000000,0.000000,0.034372,0.965628,0.018714,0.981286
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,17000001,18000000,1000000,0.000000,0.000000,0.072125,0.927875,0.016636,0.983364
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,18000001,19000000,1000000,0.000000,0.000000,0.098129,0.901871,0.018367,0.981633
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,19000001,20000000,1000000,0.000000,0.000000,0.415802,0.584198,0.021628,0.978372
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,20000001,21000000,1000000,0.000000,0.000000,0.078147,0.921853,0.017184,0.982816
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,21000001,22000000,1000000,0.000000,0.000000,0.241719,0.758281,0.017417,0.982583
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,22000001,23000000,1000000,0.000000,0.000000,0.485626,0.514374,0.040033,0.959967
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,23000001,24000000,1000000,0.000000,0.000000,0.300174,0.699826,0.028424,0.971576
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,24000001,25000000,1000000,0.000000,0.000000,0.581884,0.418116,0.016443,0.983557
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,25000001,26000000,1000000,0.000000,0.000000,0.673579,0.326421,0.017021,0.982979
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,26000001,27000000,1000000,0.000000,0.000000,0.892887,0.107113,0.022481,0.977519
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,27000001,28000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,28000001,29000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,29000001,30000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,30000001,31000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,31000001,32000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,32000001,33000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,33000001,34000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,34000001,35000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,35000001,36000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,36000001,37000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,37000001,38000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,38000001,39000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,39000001,40000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,40000001,41000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,41000001,42000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,42000001,43000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,43000001,44000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPanPan1#P#chrY_pat_hsaY,Y,44000001,45000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
