NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,1,1000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,1000001,2000000,1000000,0.000000,0.000000,0.793609,0.206391,0.217752,0.782248
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,2000001,3000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,3000001,4000000,1000000,0.000000,0.000000,0.949504,0.050496,0.215245,0.784755
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,4000001,5000000,1000000,0.000000,0.000000,0.669181,0.330819,0.128726,0.871274
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,5000001,6000000,1000000,0.000000,0.000000,0.698146,0.301854,0.107337,0.892663
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,6000001,7000000,1000000,0.000000,0.000000,0.669859,0.330141,0.063652,0.936348
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,7000001,8000000,1000000,0.000000,0.000000,0.899100,0.100900,0.180614,0.819386
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,8000001,9000000,1000000,0.000000,0.000000,0.903778,0.096222,0.016337,0.983663
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,9000001,10000000,1000000,0.000000,0.000000,0.287252,0.712748,0.016775,0.983225
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,10000001,11000000,1000000,0.000000,0.000000,0.462827,0.537173,0.027658,0.972342
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,11000001,12000000,1000000,0.000000,0.000000,0.893855,0.106145,0.140223,0.859777
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,12000001,13000000,1000000,0.000000,0.000000,0.534199,0.465801,0.038484,0.961516
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,13000001,14000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,14000001,15000000,1000000,0.000000,0.000000,0.929732,0.070268,0.206125,0.793875
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,15000001,16000000,1000000,0.000000,0.000000,0.867112,0.132888,0.095983,0.904017
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,16000001,17000000,1000000,0.000000,0.000000,0.845968,0.154032,0.063149,0.936851
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,17000001,18000000,1000000,0.000000,0.000000,0.977162,0.022838,0.092434,0.907566
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,18000001,19000000,1000000,0.000000,0.000000,0.514508,0.485492,0.017065,0.982935
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,19000001,20000000,1000000,0.000000,0.000000,0.538949,0.461051,0.030055,0.969945
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,20000001,21000000,1000000,0.000000,0.000000,0.796983,0.203017,0.062118,0.937882
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,21000001,22000000,1000000,0.000000,0.000000,0.945212,0.054788,0.046926,0.953074
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,22000001,23000000,1000000,0.000000,0.000000,0.762225,0.237775,0.047171,0.952829
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,23000001,24000000,1000000,0.000000,0.000000,0.656300,0.343700,0.123058,0.876942
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,24000001,25000000,1000000,0.000000,0.000000,0.062956,0.937044,0.017104,0.982896
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,25000001,26000000,1000000,0.000000,0.000000,0.071191,0.928809,0.017106,0.982894
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,26000001,27000000,1000000,0.000000,0.000000,0.037694,0.962306,0.017365,0.982635
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,27000001,28000000,1000000,0.000000,0.000000,0.061714,0.938286,0.015921,0.984079
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,28000001,29000000,1000000,0.000000,0.000000,0.126493,0.873507,0.017344,0.982656
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,29000001,30000000,1000000,0.000000,0.000000,0.063796,0.936204,0.018231,0.981769
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,30000001,31000000,1000000,0.000000,0.000000,0.036554,0.963446,0.017924,0.982076
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,31000001,32000000,1000000,0.000000,0.000000,0.290304,0.709696,0.016740,0.983260
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,32000001,33000000,1000000,0.000000,0.000000,0.143513,0.856487,0.018737,0.981263
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,33000001,34000000,1000000,0.000000,0.000000,0.129538,0.870462,0.017130,0.982870
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,34000001,35000000,1000000,0.000000,0.000000,0.131273,0.868727,0.028510,0.971490
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,35000001,36000000,1000000,0.000000,0.000000,0.194508,0.805492,0.035068,0.964932
mPanTro3#2#chrY_hap2_hsaY,hg002#P#chrY_PATERNAL,Y,36000001,37000000,447294,0.000000,0.000000,1.000000,0.000000,NA,NA
