NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,1,1000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,1000001,2000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,2000001,3000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,5000001,6000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,6000001,7000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,7000001,8000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,8000001,9000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,9000001,10000000,1000000,0.000000,0.000000,0.683416,0.316584,0.042463,0.957537
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,10000001,11000000,1000000,0.000000,0.000000,0.156650,0.843350,0.038028,0.961972
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,11000001,12000000,1000000,0.000000,0.000000,0.080485,0.919515,0.027110,0.972890
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,12000001,13000000,1000000,0.000000,0.000000,0.634028,0.365972,0.016627,0.983373
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,13000001,14000000,1000000,0.000000,0.000000,0.318236,0.681764,0.016647,0.983353
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,14000001,15000000,1000000,0.000000,0.000000,0.378012,0.621988,0.017407,0.982593
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,15000001,16000000,1000000,0.000000,0.000000,0.019259,0.980741,0.017676,0.982324
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,16000001,17000000,1000000,0.000000,0.000000,0.010265,0.989735,0.015139,0.984861
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,17000001,18000000,1000000,0.000000,0.000000,0.008744,0.991256,0.013574,0.986426
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,18000001,19000000,1000000,0.000000,0.000000,0.023394,0.976606,0.014220,0.985780
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,19000001,20000000,1000000,0.000000,0.000000,0.011582,0.988418,0.014052,0.985948
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,20000001,21000000,1000000,0.000000,0.000000,0.006345,0.993655,0.013837,0.986163
mGorGor1#M#chrX_mat_hsaX,hg002#M#chrX_MATERNAL,X,21000001,22000000,1000000,0.000000,0.000000,0.014197,0.985803,0.013074,0.986926
