NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,1,1000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,1000001,2000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,2000001,3000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,4000001,5000000,1000000,0.000000,0.000000,0.637081,0.362919,0.037273,0.962727
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,5000001,6000000,1000000,0.000000,0.000000,0.560381,0.439619,0.006583,0.993417
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,6000001,7000000,1000000,0.000000,0.000000,0.506044,0.493956,0.007606,0.992394
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,7000001,8000000,1000000,0.000000,0.000000,0.307958,0.692042,0.014739,0.985261
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,8000001,9000000,1000000,0.000000,0.000000,0.841576,0.158424,0.005132,0.994868
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,9000001,10000000,1000000,0.000000,0.000000,0.250555,0.749445,0.005181,0.994819
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,10000001,11000000,1000000,0.000000,0.000000,0.090254,0.909746,0.006518,0.993482
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,11000001,12000000,1000000,0.000000,0.000000,0.757013,0.242987,0.006391,0.993609
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,12000001,13000000,1000000,0.000000,0.000000,0.003546,0.996454,0.005367,0.994633
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,13000001,14000000,1000000,0.000000,0.000000,0.364052,0.635948,0.024890,0.975110
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,14000001,15000000,1000000,0.000000,0.000000,0.281656,0.718344,0.009984,0.990016
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,15000001,16000000,1000000,0.000000,0.000000,0.294624,0.705376,0.006860,0.993140
mPanTro3#2#chrY_hap2_hsaY,mPanPan1#P#chrY_pat_hsaY,Y,16000001,17000000,1000000,0.000000,0.000000,0.273920,0.726080,0.006957,0.993043
