NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,1,1000000,1000000,0.000000,0.000000,0.083840,0.916160,0.014815,0.985185
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,1000001,2000000,1000000,0.000000,0.000000,0.058929,0.941071,0.010459,0.989541
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,2000001,3000000,1000000,0.000000,0.000000,0.009236,0.990764,0.004057,0.995943
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,3000001,4000000,1000000,0.000000,0.000000,0.056087,0.943913,0.003877,0.996123
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,4000001,5000000,1000000,0.000000,0.000000,0.004209,0.995791,0.004693,0.995307
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,5000001,6000000,1000000,0.000000,0.000000,0.012950,0.987050,0.004681,0.995319
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,6000001,7000000,1000000,0.000000,0.000000,0.003232,0.996768,0.002840,0.997160
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,7000001,8000000,1000000,0.000000,0.000000,0.003380,0.996620,0.002544,0.997456
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,8000001,9000000,1000000,0.000000,0.000000,0.016271,0.983729,0.002573,0.997427
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,9000001,10000000,1000000,0.000000,0.000000,0.009631,0.990369,0.003289,0.996711
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,10000001,11000000,1000000,0.000000,0.000000,0.001875,0.998125,0.002535,0.997465
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,11000001,12000000,1000000,0.000000,0.000000,0.010456,0.989544,0.002545,0.997455
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,12000001,13000000,1000000,0.000000,0.000000,0.001027,0.998973,0.002641,0.997359
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,13000001,14000000,1000000,0.000000,0.000000,0.001082,0.998918,0.001963,0.998037
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,14000001,15000000,1000000,0.000000,0.000000,0.009669,0.990331,0.002795,0.997205
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,15000001,16000000,1000000,0.000000,0.000000,0.005457,0.994543,0.002343,0.997657
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,16000001,17000000,1000000,0.000000,0.000000,0.001137,0.998863,0.002028,0.997972
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,17000001,18000000,1000000,0.000000,0.000000,0.008543,0.991457,0.002101,0.997899
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,18000001,19000000,1000000,0.000000,0.000000,0.010748,0.989252,0.002417,0.997583
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,19000001,20000000,1000000,0.000000,0.000000,0.008373,0.991627,0.002287,0.997713
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,20000001,21000000,1000000,0.000000,0.000000,0.003267,0.996733,0.001890,0.998110
mPonAbe1#1#chrX_hap1_hsaX,mPonPyg2#1#chrX_hap1_hsaX,X,21000001,22000000,1000000,0.000000,0.000000,0.007390,0.992610,0.001704,0.998296
