NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,1,1000000,1000000,0.000000,0.000000,0.303660,0.696340,0.073127,0.926873
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,1000001,2000000,1000000,0.000000,0.000000,0.197903,0.802097,0.063749,0.936251
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,2000001,3000000,1000000,0.000000,0.000000,0.335806,0.664194,0.043954,0.956046
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,5000001,6000000,1000000,0.000000,0.000000,0.943570,0.056430,0.063459,0.936541
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,6000001,7000000,1000000,0.000000,0.000000,0.465269,0.534731,0.057898,0.942102
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,7000001,8000000,1000000,0.000000,0.000000,0.525807,0.474193,0.073371,0.926629
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,8000001,9000000,1000000,0.000000,0.000000,0.273031,0.726969,0.081523,0.918477
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,9000001,10000000,1000000,0.000000,0.000000,0.391600,0.608400,0.101083,0.898917
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,10000001,11000000,1000000,0.000000,0.000000,0.550150,0.449850,0.109645,0.890355
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,11000001,12000000,1000000,0.000000,0.000000,0.791620,0.208380,0.199554,0.800446
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,12000001,13000000,1000000,0.000000,0.000000,0.969953,0.030047,0.172829,0.827171
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,13000001,14000000,1000000,0.000000,0.000000,0.346991,0.653009,0.051246,0.948754
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,14000001,15000000,1000000,0.000000,0.000000,0.303550,0.696450,0.051658,0.948342
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,15000001,16000000,1000000,0.000000,0.000000,0.387291,0.612709,0.058312,0.941688
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,16000001,17000000,1000000,0.000000,0.000000,0.310409,0.689591,0.065988,0.934012
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,17000001,18000000,1000000,0.000000,0.000000,0.227218,0.772782,0.060968,0.939032
hg002#P#chrY_PATERNAL,mPonPyg2#2#chrY_hap2_hsaY,Y,18000001,19000000,1000000,0.000000,0.000000,0.183042,0.816958,0.078392,0.921608
