NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,1,1000000,1000000,0.000000,0.000000,0.343686,0.656314,0.025047,0.974953
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,1000001,2000000,1000000,0.000000,0.000000,0.035952,0.964048,0.022518,0.977482
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,2000001,3000000,1000000,0.000000,0.000000,0.176663,0.823337,0.053390,0.946610
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,3000001,4000000,1000000,0.000000,0.000000,0.027669,0.972331,0.021571,0.978429
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,4000001,5000000,1000000,0.000000,0.000000,0.010024,0.989976,0.020441,0.979559
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,5000001,6000000,1000000,0.000000,0.000000,0.024356,0.975644,0.020132,0.979868
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,6000001,7000000,1000000,0.000000,0.000000,0.010984,0.989016,0.017003,0.982997
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,7000001,8000000,1000000,0.000000,0.000000,0.014839,0.985161,0.018190,0.981810
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,8000001,9000000,1000000,0.000000,0.000000,0.025606,0.974394,0.017301,0.982699
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,9000001,10000000,1000000,0.000000,0.000000,0.020845,0.979155,0.016893,0.983107
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,10000001,11000000,1000000,0.000000,0.000000,0.012439,0.987561,0.015052,0.984948
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,11000001,12000000,1000000,0.000000,0.000000,0.012411,0.987589,0.017535,0.982465
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,12000001,13000000,1000000,0.000000,0.000000,0.166094,0.833906,0.022655,0.977345
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,13000001,14000000,1000000,0.000000,0.000000,0.017011,0.982989,0.018845,0.981155
hg002#M#chr1_MATERNAL,mGorGor1#M#chr1_mat_hsa1,1,14000001,15000000,1000000,0.000000,0.000000,0.005577,0.994423,0.018422,0.981578
