"NAME","CHRGRP","GAP_OTHER","DIFF"
"hg002","A",0.0347425900900901,0.00159503742567331
"PanTro3","A",0.0788793361344538,0.00272832543554007
"PanPan1","A",0.0850947544437129,0.00369761473755047
"GorGor1","A",0.132979989150091,0.00565466944801027
"PonAbe1","A",0.0668204108090186,0.00353748156996587
"PonPyg2","A",0.0611928507164278,0.00251811552965375
"hg002 vs. PanTro3","A",0.131685577616078,0.0159613672699849
"hg002 vs. PanTro3","X",0.0416015324675325,0.0115612402597403
"hg002 vs. PanTro3","Y",0.75210714516129,0.0398068
"PanTro3 vs. hg002","A",0.12110088605042,0.0146215861694424
"PanTro3 vs. hg002","X",0.0403766405228758,0.0110029934640523
"PanTro3 vs. hg002","Y",0.554027638888889,0.0658808181818182
"hg002 vs. PanPan1","A",0.123943302494802,0.0161405383751404
"hg002 vs. PanPan1","X",0.045606538961039,0.0117642987012987
"hg002 vs. PanPan1","Y",0.75483914516129,0.03581764
"PanPan1 vs. hg002","A",0.139558195523371,0.0145644107207533
"PanPan1 vs. hg002","X",0.07639280625,0.0113192516129032
"PanPan1 vs. hg002","Y",0.660374413043478,0.0712099666666667
"hg002 vs. GorGor1","A",0.177813574151074,0.0198891308817715
"hg002 vs. GorGor1","X",0.0519864090909091,0.0164389673202614
"hg002 vs. GorGor1","Y",0.738859338709677,0.103231789473684
"GorGor1 vs. hg002","A",0.268202187160941,0.0185878866256726
"GorGor1 vs. hg002","X",0.172282203389831,0.0155685161290323
"GorGor1 vs. hg002","Y",0.772784820895522,0.0641214482758621
"hg002 vs. PonAbe1","A",0.153766581774082,0.0363619939485628
"hg002 vs. PonAbe1","X",0.0875217077922078,0.0301600657894737
"hg002 vs. PonAbe1","Y",0.769365435483871,0.11737525
"PonAbe1 vs. hg002","A",0.164054391246684,0.0360839942466739
"PonAbe1 vs. hg002","X",0.133280092592593,0.029040535483871
"PonAbe1 vs. hg002","Y",0.794157388059701,0.101255057142857
"hg002 vs. PonPyg2","A",0.161234159390159,0.0364827842465753
"hg002 vs. PonPyg2","X",0.0878434025974026,0.0300348486842105
"hg002 vs. PonPyg2","Y",0.773185741935484,0.10261471875
"PonPyg2 vs. hg002","A",0.159575145618128,0.0354807359510086
"PonPyg2 vs. hg002","X",0.12530363125,0.0293490064516129
"PonPyg2 vs. hg002","Y",0.730166244897959,0.092669696969697
"PonAbe1 vs. PonPyg2","A",0.0888694913793103,0.00500622489683631
"PonAbe1 vs. PonPyg2","X",0.0356174320987654,0.00448
"PonAbe1 vs. PonPyg2","Y",0.420015417910448,0.00524767924528302
"PonPyg2 vs. PonAbe1","A",0.0853802802399201,0.00479587733887734
"PonPyg2 vs. PonAbe1","X",0.02739269375,0.0041978125
"PonPyg2 vs. PonAbe1","Y",0.189862897959184,0.00505917021276596
"PanTro3 vs. PanPan1","A",0.0954107425210083,0.00777150923295454
"PanTro3 vs. PanPan1","X",0.018652431372549,0.00371854248366013
"PanTro3 vs. PanPan1","Y",0.324451444444444,0.00836640625
"PanPan1 vs. PanTro3","A",0.112427828176432,0.0089488766504517
"PanPan1 vs. PanTro3","X",0.054583275,0.00380928025477707
"PanPan1 vs. PanTro3","Y",0.458576,0.0155144
