NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,1,1000000,1000000,0.000000,0.000000,0.254039,0.745961,0.073048,0.926952
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,1000001,2000000,1000000,0.000000,0.000000,0.171734,0.828266,0.061793,0.938207
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,2000001,3000000,1000000,0.000000,0.000000,0.047947,0.952053,0.034606,0.965394
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,3000001,4000000,1000000,0.000000,0.000000,0.031068,0.968932,0.031208,0.968792
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,4000001,5000000,1000000,0.000000,0.000000,0.039811,0.960189,0.032117,0.967883
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,5000001,6000000,1000000,0.000000,0.000000,0.031318,0.968682,0.028721,0.971279
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,6000001,7000000,1000000,0.000000,0.000000,0.049926,0.950074,0.026225,0.973775
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,7000001,8000000,1000000,0.000000,0.000000,0.034820,0.965180,0.026711,0.973289
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,8000001,9000000,1000000,0.000000,0.000000,0.025693,0.974307,0.026703,0.973297
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,9000001,10000000,1000000,0.000000,0.000000,0.023731,0.976269,0.027781,0.972219
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,10000001,11000000,1000000,0.000000,0.000000,0.032258,0.967742,0.023761,0.976239
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,11000001,12000000,1000000,0.000000,0.000000,0.039487,0.960513,0.024749,0.975251
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,12000001,13000000,1000000,0.000000,0.000000,0.018301,0.981699,0.025716,0.974284
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,13000001,14000000,1000000,0.000000,0.000000,0.026455,0.973545,0.025780,0.974220
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,14000001,15000000,1000000,0.000000,0.000000,0.018985,0.981015,0.025337,0.974663
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,15000001,16000000,1000000,0.000000,0.000000,0.042539,0.957461,0.024027,0.975973
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,16000001,17000000,1000000,0.000000,0.000000,0.042816,0.957184,0.024457,0.975543
hg002#M#chrX_MATERNAL,mPonAbe1#1#chrX_hap1_hsaX,X,17000001,18000000,1000000,0.000000,0.000000,0.025645,0.974355,0.023855,0.976145
