NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,1,1000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,1000001,2000000,1000000,0.000000,0.000000,0.603892,0.396108,0.166904,0.833096
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,2000001,3000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,5000001,6000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,6000001,7000000,1000000,0.000000,0.000000,0.814373,0.185627,0.208698,0.791302
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,7000001,8000000,1000000,0.000000,0.000000,0.480481,0.519519,0.102481,0.897519
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,8000001,9000000,1000000,0.000000,0.000000,0.326782,0.673218,0.016341,0.983659
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,9000001,10000000,1000000,0.000000,0.000000,0.289066,0.710934,0.031267,0.968733
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,10000001,11000000,1000000,0.000000,0.000000,0.421719,0.578281,0.037560,0.962440
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,11000001,12000000,1000000,0.000000,0.000000,0.799310,0.200690,0.223559,0.776441
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,12000001,13000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,13000001,14000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,14000001,15000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,15000001,16000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPanPan1#P#chrY_pat_hsaY,hg002#P#chrY_PATERNAL,Y,16000001,17000000,1000000,0.000000,0.000000,0.401489,0.598511,0.036714,0.963286
