NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,1,1000000,1000000,0.000000,0.000000,0.025100,0.974900,0.005346,0.994654
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,1000001,2000000,1000000,0.000000,0.000000,0.022203,0.977797,0.004624,0.995376
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,2000001,3000000,1000000,0.000000,0.000000,0.032964,0.967036,0.004294,0.995706
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,3000001,4000000,1000000,0.000000,0.000000,0.007895,0.992105,0.004595,0.995405
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,4000001,5000000,1000000,0.000000,0.000000,0.003062,0.996938,0.004013,0.995987
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,5000001,6000000,1000000,0.000000,0.000000,0.013795,0.986205,0.002289,0.997711
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,6000001,7000000,1000000,0.000000,0.000000,0.002744,0.997256,0.004733,0.995267
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,7000001,8000000,1000000,0.000000,0.000000,0.008530,0.991470,0.004501,0.995499
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,8000001,9000000,1000000,0.000000,0.000000,0.003762,0.996238,0.004578,0.995422
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,9000001,10000000,1000000,0.000000,0.000000,0.001393,0.998607,0.004846,0.995154
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,10000001,11000000,1000000,0.000000,0.000000,0.001993,0.998007,0.005111,0.994889
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,11000001,12000000,1000000,0.000000,0.000000,0.003653,0.996347,0.004557,0.995443
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,12000001,13000000,1000000,0.000000,0.000000,0.009467,0.990533,0.004552,0.995448
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,13000001,14000000,1000000,0.000000,0.000000,0.007294,0.992706,0.004027,0.995973
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,14000001,15000000,1000000,0.000000,0.000000,0.004149,0.995851,0.003286,0.996714
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,15000001,16000000,1000000,0.000000,0.000000,0.007601,0.992399,0.004455,0.995545
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,16000001,17000000,1000000,0.000000,0.000000,0.003113,0.996887,0.003534,0.996466
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,17000001,18000000,1000000,0.000000,0.000000,0.003850,0.996150,0.004137,0.995863
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,18000001,19000000,1000000,0.000000,0.000000,0.007975,0.992025,0.003821,0.996179
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,19000001,20000000,1000000,0.000000,0.000000,0.010660,0.989340,0.003928,0.996072
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,20000001,21000000,1000000,0.000000,0.000000,0.072743,0.927257,0.006130,0.993870
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,21000001,22000000,1000000,0.000000,0.000000,0.003630,0.996370,0.001585,0.998415
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,22000001,23000000,1000000,0.000000,0.000000,0.008867,0.991133,0.002878,0.997122
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,23000001,24000000,1000000,0.000000,0.000000,0.005940,0.994060,0.003352,0.996648
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,24000001,25000000,1000000,0.000000,0.000000,0.016231,0.983769,0.003137,0.996863
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,25000001,26000000,1000000,0.000000,0.000000,0.002046,0.997954,0.003134,0.996866
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,26000001,27000000,1000000,0.000000,0.000000,0.007705,0.992295,0.003816,0.996184
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,27000001,28000000,1000000,0.000000,0.000000,0.008236,0.991764,0.003501,0.996499
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,28000001,29000000,1000000,0.000000,0.000000,0.000916,0.999084,0.002978,0.997022
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,29000001,30000000,1000000,0.000000,0.000000,0.004859,0.995141,0.003503,0.996497
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,30000001,31000000,1000000,0.000000,0.000000,0.010159,0.989841,0.002865,0.997135
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,31000001,32000000,1000000,0.000000,0.000000,0.003459,0.996541,0.004439,0.995561
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,32000001,33000000,1000000,0.000000,0.000000,0.001987,0.998013,0.003384,0.996616
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,33000001,34000000,1000000,0.000000,0.000000,0.004192,0.995808,0.003631,0.996369
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,34000001,35000000,1000000,0.000000,0.000000,0.002002,0.997998,0.003585,0.996415
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,35000001,36000000,1000000,0.000000,0.000000,0.000826,0.999174,0.002852,0.997148
mPonPyg2#1#chr1_hap1_hsa1,mPonAbe1#1#chr1_hap1_hsa1,1,36000001,37000000,1000000,0.000000,0.000000,0.008055,0.991945,0.003255,0.996745
