NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,1,1000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,1000001,2000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,2000001,3000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,5000001,6000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,6000001,7000000,1000000,0.000000,0.000000,0.753177,0.246823,0.018904,0.981096
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,7000001,8000000,1000000,0.000000,0.000000,0.419187,0.580813,0.023729,0.976271
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,8000001,9000000,1000000,0.000000,0.000000,0.391293,0.608707,0.019219,0.980781
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,9000001,10000000,1000000,0.000000,0.000000,0.059354,0.940646,0.018597,0.981403
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,10000001,11000000,1000000,0.000000,0.000000,0.024334,0.975666,0.019167,0.980833
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,11000001,12000000,1000000,0.000000,0.000000,0.014414,0.985586,0.018159,0.981841
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,12000001,13000000,1000000,0.000000,0.000000,0.012268,0.987732,0.016749,0.983251
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,13000001,14000000,1000000,0.000000,0.000000,0.072920,0.927080,0.016727,0.983273
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,14000001,15000000,1000000,0.000000,0.000000,0.012374,0.987626,0.018155,0.981845
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,15000001,16000000,1000000,0.000000,0.000000,0.020747,0.979253,0.016885,0.983115
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,16000001,17000000,1000000,0.000000,0.000000,0.372216,0.627784,0.017845,0.982155
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,17000001,18000000,1000000,0.000000,0.000000,0.364555,0.635445,0.018963,0.981037
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,18000001,19000000,1000000,0.000000,0.000000,0.084477,0.915523,0.017457,0.982543
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,19000001,20000000,1000000,0.000000,0.000000,0.018804,0.981196,0.018009,0.981991
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,20000001,21000000,1000000,0.000000,0.000000,0.390202,0.609798,0.016973,0.983027
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,21000001,22000000,1000000,0.000000,0.000000,0.019910,0.980090,0.016815,0.983185
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,22000001,23000000,1000000,0.000000,0.000000,0.008390,0.991610,0.016624,0.983376
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,23000001,24000000,1000000,0.000000,0.000000,0.017049,0.982951,0.017163,0.982837
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,24000001,25000000,1000000,0.000000,0.000000,0.017666,0.982334,0.016812,0.983188
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,25000001,26000000,1000000,0.000000,0.000000,0.017907,0.982093,0.016268,0.983732
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,26000001,27000000,1000000,0.000000,0.000000,0.113926,0.886074,0.017120,0.982880
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,27000001,28000000,1000000,0.000000,0.000000,0.022764,0.977236,0.017435,0.982565
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,28000001,29000000,1000000,0.000000,0.000000,0.016992,0.983008,0.017949,0.982051
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,29000001,30000000,1000000,0.000000,0.000000,0.101992,0.898008,0.017507,0.982493
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,30000001,31000000,1000000,0.000000,0.000000,0.270985,0.729015,0.016334,0.983666
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,31000001,32000000,1000000,0.000000,0.000000,0.010328,0.989672,0.015656,0.984344
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,32000001,33000000,1000000,0.000000,0.000000,0.011127,0.988873,0.016347,0.983653
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,33000001,34000000,1000000,0.000000,0.000000,0.027706,0.972294,0.016053,0.983947
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,34000001,35000000,1000000,0.000000,0.000000,0.011189,0.988811,0.015287,0.984713
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,35000001,36000000,1000000,0.000000,0.000000,0.013999,0.986001,0.015160,0.984840
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,36000001,37000000,1000000,0.000000,0.000000,0.005086,0.994914,0.016047,0.983953
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,37000001,38000000,1000000,0.000000,0.000000,0.026784,0.973216,0.016095,0.983905
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,38000001,39000000,1000000,0.000000,0.000000,0.012036,0.987964,0.016188,0.983812
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,39000001,40000000,1000000,0.000000,0.000000,0.012830,0.987170,0.015253,0.984747
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,40000001,41000000,1000000,0.000000,0.000000,0.010935,0.989065,0.015579,0.984421
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,41000001,42000000,1000000,0.000000,0.000000,0.029516,0.970484,0.015680,0.984320
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,42000001,43000000,1000000,0.000000,0.000000,0.214142,0.785858,0.016070,0.983930
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,43000001,44000000,1000000,0.000000,0.000000,0.006386,0.993614,0.015033,0.984967
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,44000001,45000000,1000000,0.000000,0.000000,0.012285,0.987715,0.014818,0.985182
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,45000001,46000000,1000000,0.000000,0.000000,0.015015,0.984985,0.014387,0.985613
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,46000001,47000000,1000000,0.000000,0.000000,0.054017,0.945983,0.015142,0.984858
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,47000001,48000000,1000000,0.000000,0.000000,0.024090,0.975910,0.015434,0.984566
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,48000001,49000000,1000000,0.000000,0.000000,0.006683,0.993317,0.015433,0.984567
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,49000001,50000000,1000000,0.000000,0.000000,0.010244,0.989756,0.015423,0.984577
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,50000001,51000000,1000000,0.000000,0.000000,0.014443,0.985557,0.014493,0.985507
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,51000001,52000000,1000000,0.000000,0.000000,0.008409,0.991591,0.015137,0.984863
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,52000001,53000000,1000000,0.000000,0.000000,0.013179,0.986821,0.014779,0.985221
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,53000001,54000000,1000000,0.000000,0.000000,0.007641,0.992359,0.015266,0.984734
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,54000001,55000000,1000000,0.000000,0.000000,0.007791,0.992209,0.015092,0.984908
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,55000001,56000000,1000000,0.000000,0.000000,0.020414,0.979586,0.014668,0.985332
mGorGor1#M#chr1_mat_hsa1,hg002#M#chr1_MATERNAL,1,56000001,57000000,1000000,0.000000,0.000000,0.005990,0.994010,0.015590,0.984410
