"NAME_REF","NAME_OTHER","CHR","BIN_START","BIN_END","BIN_SIZE","GAP_BOTH","GAP_REF","GAP_OTHER","GAP_NONE","DIFF","SAME","NAME","CHRGRP","DIV"
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",1,1000000,1000000,0,0,0.076904,0.923096,0.003111,0.996889,"PTR_SNV","A",0.003111
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",1,1000000,1000000,0,0,0.076904,0.923096,0.003111,0.996889,"PTR_GAP","A",0.076904
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",1000001,2000000,1000000,0,0,0.001013,0.998987,0.001366,0.998634,"PTR_SNV","A",0.001366
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",1000001,2000000,1000000,0,0,0.001013,0.998987,0.001366,0.998634,"PTR_GAP","A",0.001013
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",2000001,3000000,1000000,0,0,0.006412,0.993588,0.001461,0.998539,"PTR_SNV","A",0.001461
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",2000001,3000000,1000000,0,0,0.006412,0.993588,0.001461,0.998539,"PTR_GAP","A",0.006412
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",3000001,4000000,1000000,0,0,0.003086,0.996914,0.00216,0.99784,"PTR_SNV","A",0.00216
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",3000001,4000000,1000000,0,0,0.003086,0.996914,0.00216,0.99784,"PTR_GAP","A",0.003086
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",4000001,5000000,1000000,0,0,0.013091,0.986909,0.001091,0.998909,"PTR_SNV","A",0.001091
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",4000001,5000000,1000000,0,0,0.013091,0.986909,0.001091,0.998909,"PTR_GAP","A",0.013091
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",5000001,6000000,1000000,0,0,0.001296,0.998704,0.000527,0.999473,"PTR_SNV","A",0.000527
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",5000001,6000000,1000000,0,0,0.001296,0.998704,0.000527,0.999473,"PTR_GAP","A",0.001296
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",6000001,7000000,1000000,0,0,0.001278,0.998722,0.001626,0.998374,"PTR_SNV","A",0.001626
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",6000001,7000000,1000000,0,0,0.001278,0.998722,0.001626,0.998374,"PTR_GAP","A",0.001278
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",7000001,8000000,1000000,0,0,0.002094,0.997906,0.001322,0.998678,"PTR_SNV","A",0.001322
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",7000001,8000000,1000000,0,0,0.002094,0.997906,0.001322,0.998678,"PTR_GAP","A",0.002094
"mPanTro3#1#chr1_hap1_hsa1","mPanTro3#2#chr1_hap2_hsa1","1",8000001,9000000,1000000,0,0,0.000841,0.999159,0.000733,0.999267,"PTR_SNV","A",0.000733
