"NAME_REF","NAME_OTHER","CHR","BIN_START","BIN_END","BIN_SIZE","GAP_BOTH","GAP_REF","GAP_OTHER","GAP_NONE","DIFF","SAME","NAME","CHRGRP","DIV"
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",1,1000000,1000000,0,0,0.331412,0.668588,0.017043,0.982957,"PTR_SNV","A",0.017043
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",1,1000000,1000000,0,0,0.331412,0.668588,0.017043,0.982957,"PTR_GAP","A",0.331412
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",1000001,2000000,1000000,0,0,0.023593,0.976407,0.015639,0.984361,"PTR_SNV","A",0.015639
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",1000001,2000000,1000000,0,0,0.023593,0.976407,0.015639,0.984361,"PTR_GAP","A",0.023593
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",2000001,3000000,1000000,0,0,0.034878,0.965122,0.014645,0.985355,"PTR_SNV","A",0.014645
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",2000001,3000000,1000000,0,0,0.034878,0.965122,0.014645,0.985355,"PTR_GAP","A",0.034878
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",3000001,4000000,1000000,0,0,0.029361,0.970639,0.015862,0.984138,"PTR_SNV","A",0.015862
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",3000001,4000000,1000000,0,0,0.029361,0.970639,0.015862,0.984138,"PTR_GAP","A",0.029361
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",4000001,5000000,1000000,0,0,0.028353,0.971647,0.014606,0.985394,"PTR_SNV","A",0.014606
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",4000001,5000000,1000000,0,0,0.028353,0.971647,0.014606,0.985394,"PTR_GAP","A",0.028353
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",5000001,6000000,1000000,0,0,0.011744,0.988256,0.011028,0.988972,"PTR_SNV","A",0.011028
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",5000001,6000000,1000000,0,0,0.011744,0.988256,0.011028,0.988972,"PTR_GAP","A",0.011744
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",6000001,7000000,1000000,0,0,0.007911,0.992089,0.014781,0.985219,"PTR_SNV","A",0.014781
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",6000001,7000000,1000000,0,0,0.007911,0.992089,0.014781,0.985219,"PTR_GAP","A",0.007911
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",7000001,8000000,1000000,0,0,0.010057,0.989943,0.013961,0.986039,"PTR_SNV","A",0.013961
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",7000001,8000000,1000000,0,0,0.010057,0.989943,0.013961,0.986039,"PTR_GAP","A",0.010057
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",8000001,9000000,1000000,0,0,0.030198,0.969802,0.014347,0.985653,"PTR_SNV","A",0.014347
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",8000001,9000000,1000000,0,0,0.030198,0.969802,0.014347,0.985653,"PTR_GAP","A",0.030198
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",9000001,10000000,1000000,0,0,0.00689,0.99311,0.01383,0.98617,"PTR_SNV","A",0.01383
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",9000001,10000000,1000000,0,0,0.00689,0.99311,0.01383,0.98617,"PTR_GAP","A",0.00689
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",10000001,11000000,1000000,0,0,0.012255,0.987745,0.014918,0.985082,"PTR_SNV","A",0.014918
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",10000001,11000000,1000000,0,0,0.012255,0.987745,0.014918,0.985082,"PTR_GAP","A",0.012255
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",11000001,12000000,1000000,0,0,0.012953,0.987047,0.013758,0.986242,"PTR_SNV","A",0.013758
"mPanTro3#1#chr1_hap1_hsa1","hg002#M#chr1_MATERNAL","1",11000001,12000000,1000000,0,0,0.012953,0.987047,0.013758,0.986242,"PTR_GAP","A",0.012953
