NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,1,1000000,1000000,0.000000,0.000000,0.418040,0.581960,0.007556,0.992444
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,1000001,2000000,1000000,0.000000,0.000000,0.035839,0.964161,0.005847,0.994153
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,2000001,3000000,1000000,0.000000,0.000000,0.015075,0.984925,0.006094,0.993906
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,3000001,4000000,1000000,0.000000,0.000000,0.016336,0.983664,0.006354,0.993646
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,4000001,5000000,1000000,0.000000,0.000000,0.005089,0.994911,0.004864,0.995136
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,5000001,6000000,1000000,0.000000,0.000000,0.002973,0.997027,0.004131,0.995869
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,6000001,7000000,1000000,0.000000,0.000000,0.008889,0.991111,0.004772,0.995228
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,7000001,8000000,1000000,0.000000,0.000000,0.001873,0.998127,0.004725,0.995275
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,8000001,9000000,1000000,0.000000,0.000000,0.007831,0.992169,0.005598,0.994402
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,9000001,10000000,1000000,0.000000,0.000000,0.001771,0.998229,0.004336,0.995664
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,10000001,11000000,1000000,0.000000,0.000000,0.003472,0.996528,0.005295,0.994705
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,11000001,12000000,1000000,0.000000,0.000000,0.011160,0.988840,0.005527,0.994473
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,12000001,13000000,1000000,0.000000,0.000000,0.035036,0.964964,0.005210,0.994790
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,13000001,14000000,1000000,0.000000,0.000000,0.004883,0.995117,0.004210,0.995790
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,14000001,15000000,1000000,0.000000,0.000000,0.011228,0.988772,0.003982,0.996018
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,15000001,16000000,1000000,0.000000,0.000000,0.006074,0.993926,0.005714,0.994286
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,16000001,17000000,1000000,0.000000,0.000000,0.004458,0.995542,0.004286,0.995714
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,17000001,18000000,1000000,0.000000,0.000000,0.003055,0.996945,0.004187,0.995813
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,18000001,19000000,1000000,0.000000,0.000000,0.003843,0.996157,0.003757,0.996243
mPanPan1#M#chr1_mat_hsa1,mPanTro3#1#chr1_hap1_hsa1,1,19000001,20000000,1000000,0.000000,0.000000,0.002309,0.997691,0.004387,0.995613
