NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,1,1000000,1000000,0.000000,0.000000,0.161399,0.838601,0.035113,0.964887
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,1000001,2000000,1000000,0.000000,0.000000,0.068317,0.931683,0.027465,0.972535
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,2000001,3000000,1000000,0.000000,0.000000,0.028319,0.971681,0.013916,0.986084
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,3000001,4000000,1000000,0.000000,0.000000,0.014758,0.985242,0.012278,0.987722
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,4000001,5000000,1000000,0.000000,0.000000,0.049209,0.950791,0.012799,0.987201
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,5000001,6000000,1000000,0.000000,0.000000,0.025112,0.974888,0.011037,0.988963
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,6000001,7000000,1000000,0.000000,0.000000,0.023587,0.976413,0.008654,0.991346
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,7000001,8000000,1000000,0.000000,0.000000,0.012783,0.987217,0.009933,0.990067
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,8000001,9000000,1000000,0.000000,0.000000,0.019817,0.980183,0.010557,0.989443
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,9000001,10000000,1000000,0.000000,0.000000,0.013171,0.986829,0.009829,0.990171
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,10000001,11000000,1000000,0.000000,0.000000,0.006568,0.993432,0.007853,0.992147
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,11000001,12000000,1000000,0.000000,0.000000,0.019286,0.980714,0.007849,0.992151
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,12000001,13000000,1000000,0.000000,0.000000,0.004653,0.995347,0.009348,0.990652
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,13000001,14000000,1000000,0.000000,0.000000,0.005401,0.994599,0.008279,0.991721
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,14000001,15000000,1000000,0.000000,0.000000,0.005337,0.994663,0.009329,0.990671
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,15000001,16000000,1000000,0.000000,0.000000,0.011692,0.988308,0.008708,0.991292
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,16000001,17000000,1000000,0.000000,0.000000,0.012219,0.987781,0.008537,0.991463
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,17000001,18000000,1000000,0.000000,0.000000,0.005863,0.994137,0.007848,0.992152
hg002#M#chrX_MATERNAL,mPanTro3#1#chrX_hap1_hsaX,X,18000001,19000000,1000000,0.000000,0.000000,0.011399,0.988601,0.008822,0.991178
