NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,DIFF,SAME
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,1,1000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,1000001,2000000,1000000,0.000000,0.000000,0.956537,0.043463,0.050457,0.949543
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,2000001,3000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,3000001,4000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,4000001,5000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,5000001,6000000,1000000,0.000000,0.000000,0.525266,0.474734,0.021431,0.978569
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,6000001,7000000,1000000,0.000000,0.000000,0.348191,0.651809,0.005781,0.994219
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,7000001,8000000,1000000,0.000000,0.000000,0.066016,0.933984,0.002346,0.997654
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,8000001,9000000,1000000,0.000000,0.000000,0.029616,0.970384,0.003987,0.996013
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,9000001,10000000,1000000,0.000000,0.000000,0.004301,0.995699,0.002375,0.997625
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,10000001,11000000,1000000,0.000000,0.000000,0.003546,0.996454,0.002767,0.997233
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,11000001,12000000,1000000,0.000000,0.000000,0.003398,0.996602,0.002478,0.997522
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,12000001,13000000,1000000,0.000000,0.000000,0.004363,0.995637,0.001692,0.998308
mGorGor1#M#chr1_mat_hsa1,mGorGor1#P#chr1_pat_hsa1,1,13000001,14000000,1000000,0.000000,0.000000,0.025672,0.974328,0.002377,0.997623
