NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,1,1000000,1000000,0.000000,0.000000,0.231509,0.768491,0.073869,0.926131
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,1000001,2000000,1000000,0.000000,0.000000,0.168761,0.831239,0.061544,0.938456
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,2000001,3000000,1000000,0.000000,0.000000,0.055745,0.944255,0.034015,0.965985
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,3000001,4000000,1000000,0.000000,0.000000,0.711438,0.288562,0.031608,0.968392
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,4000001,5000000,1000000,0.000000,0.000000,0.077727,0.922273,0.031003,0.968997
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,5000001,6000000,1000000,0.000000,0.000000,0.053335,0.946665,0.032525,0.967475
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,6000001,7000000,1000000,0.000000,0.000000,0.032723,0.967277,0.027969,0.972031
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,7000001,8000000,1000000,0.000000,0.000000,0.034240,0.965760,0.025954,0.974046
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,8000001,9000000,1000000,0.000000,0.000000,0.060584,0.939416,0.027019,0.972981
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,9000001,10000000,1000000,0.000000,0.000000,0.033799,0.966201,0.026828,0.973172
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,10000001,11000000,1000000,0.000000,0.000000,0.014568,0.985432,0.026827,0.973173
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,11000001,12000000,1000000,0.000000,0.000000,0.041700,0.958300,0.024886,0.975114
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,12000001,13000000,1000000,0.000000,0.000000,0.037105,0.962895,0.024917,0.975083
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,13000001,14000000,1000000,0.000000,0.000000,0.030888,0.969112,0.025616,0.974384
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,14000001,15000000,1000000,0.000000,0.000000,0.015929,0.984071,0.025728,0.974272
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,15000001,16000000,1000000,0.000000,0.000000,0.051666,0.948334,0.025008,0.974992
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,16000001,17000000,1000000,0.000000,0.000000,0.055437,0.944563,0.023962,0.976038
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,17000001,18000000,1000000,0.000000,0.000000,0.064916,0.935084,0.024289,0.975711
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,18000001,19000000,1000000,0.000000,0.000000,0.024834,0.975166,0.024360,0.975640
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,19000001,20000000,1000000,0.000000,0.000000,0.032026,0.967974,0.026612,0.973388
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,20000001,21000000,1000000,0.000000,0.000000,0.035084,0.964916,0.024605,0.975395
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,21000001,22000000,1000000,0.000000,0.000000,0.045189,0.954811,0.025720,0.974280
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,22000001,23000000,1000000,0.000000,0.000000,0.024545,0.975455,0.025923,0.974077
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,23000001,24000000,1000000,0.000000,0.000000,0.023915,0.976085,0.032768,0.967232
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,24000001,25000000,1000000,0.000000,0.000000,0.038278,0.961722,0.028548,0.971452
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,25000001,26000000,1000000,0.000000,0.000000,0.027237,0.972763,0.024237,0.975763
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,26000001,27000000,1000000,0.000000,0.000000,0.066106,0.933894,0.026913,0.973087
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,27000001,28000000,1000000,0.000000,0.000000,0.066239,0.933761,0.025819,0.974181
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,28000001,29000000,1000000,0.000000,0.000000,0.054904,0.945096,0.025879,0.974121
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,29000001,30000000,1000000,0.000000,0.000000,0.033002,0.966998,0.027106,0.972894
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,30000001,31000000,1000000,0.000000,0.000000,0.038231,0.961769,0.027013,0.972987
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,31000001,32000000,1000000,0.000000,0.000000,0.045264,0.954736,0.026878,0.973122
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,32000001,33000000,1000000,0.000000,0.000000,0.032519,0.967481,0.031277,0.968723
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,33000001,34000000,1000000,0.000000,0.000000,0.034834,0.965166,0.036929,0.963071
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,34000001,35000000,1000000,0.000000,0.000000,0.082220,0.917780,0.026689,0.973311
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,35000001,36000000,1000000,0.000000,0.000000,0.083953,0.916047,0.030171,0.969829
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,36000001,37000000,1000000,0.000000,0.000000,0.070815,0.929185,0.026623,0.973377
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,37000001,38000000,1000000,0.000000,0.000000,0.096825,0.903175,0.027167,0.972833
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,38000001,39000000,1000000,0.000000,0.000000,0.052344,0.947656,0.025442,0.974558
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,39000001,40000000,1000000,0.000000,0.000000,0.027936,0.972064,0.025105,0.974895
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,40000001,41000000,1000000,0.000000,0.000000,0.019185,0.980815,0.025916,0.974084
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,41000001,42000000,1000000,0.000000,0.000000,0.030021,0.969979,0.025727,0.974273
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,42000001,43000000,1000000,0.000000,0.000000,0.038821,0.961179,0.024198,0.975802
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,43000001,44000000,1000000,0.000000,0.000000,0.052868,0.947132,0.025275,0.974725
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,44000001,45000000,1000000,0.000000,0.000000,0.038238,0.961762,0.024434,0.975566
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,45000001,46000000,1000000,0.000000,0.000000,0.040686,0.959314,0.027164,0.972836
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,46000001,47000000,1000000,0.000000,0.000000,0.081148,0.918852,0.027023,0.972977
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,47000001,48000000,1000000,0.000000,0.000000,0.065128,0.934872,0.024895,0.975105
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,48000001,49000000,1000000,0.000000,0.000000,0.090701,0.909299,0.028945,0.971055
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,49000001,50000000,1000000,0.000000,0.000000,0.158186,0.841814,0.031990,0.968010
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,50000001,51000000,1000000,0.000000,0.000000,0.076544,0.923456,0.027320,0.972680
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,51000001,52000000,1000000,0.000000,0.000000,0.074596,0.925404,0.024824,0.975176
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,52000001,53000000,1000000,0.000000,0.000000,0.113586,0.886414,0.028750,0.971250
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,53000001,54000000,1000000,0.000000,0.000000,0.185412,0.814588,0.030824,0.969176
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,54000001,55000000,1000000,0.000000,0.000000,0.050905,0.949095,0.025894,0.974106
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,55000001,56000000,1000000,0.000000,0.000000,0.143993,0.856007,0.027954,0.972046
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,56000001,57000000,1000000,0.000000,0.000000,0.187899,0.812101,0.032168,0.967832
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,57000001,58000000,1000000,0.000000,0.000000,0.135966,0.864034,0.036629,0.963371
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,58000001,59000000,1000000,0.000000,0.000000,0.385759,0.614241,0.042251,0.957749
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,59000001,60000000,1000000,0.000000,0.000000,0.730957,0.269043,0.083470,0.916530
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,60000001,61000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,61000001,62000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,62000001,63000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,63000001,64000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,64000001,65000000,1000000,0.000000,0.000000,1.000000,0.000000,NA,NA
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,65000001,66000000,1000000,0.000000,0.000000,0.994094,0.005906,0.084660,0.915340
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,66000001,67000000,1000000,0.000000,0.000000,0.136367,0.863633,0.035763,0.964237
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,67000001,68000000,1000000,0.000000,0.000000,0.171336,0.828664,0.035013,0.964987
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,68000001,69000000,1000000,0.000000,0.000000,0.089893,0.910107,0.031531,0.968469
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,69000001,70000000,1000000,0.000000,0.000000,0.217193,0.782807,0.036597,0.963403
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,70000001,71000000,1000000,0.000000,0.000000,0.153091,0.846909,0.038155,0.961845
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,71000001,72000000,1000000,0.000000,0.000000,0.072681,0.927319,0.028520,0.971480
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,72000001,73000000,1000000,0.000000,0.000000,0.046470,0.953530,0.025826,0.974174
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,73000001,74000000,1000000,0.000000,0.000000,0.084897,0.915103,0.025290,0.974710
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,74000001,75000000,1000000,0.000000,0.000000,0.057471,0.942529,0.028035,0.971965
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,75000001,76000000,1000000,0.000000,0.000000,0.030654,0.969346,0.024755,0.975245
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,76000001,77000000,1000000,0.000000,0.000000,0.219833,0.780167,0.032857,0.967143
mPonPyg2#1#chrX_hap1_hsaX,hg002#M#chrX_MATERNAL,X,77000001,78000000,1000000,0.000000,0.000000,0.093244,0.906756,0.027263,0.972737
