NAME_REF,NAME_OTHER,CHR,BIN_START,BIN_END,BIN_SIZE,GAP_BOTH,GAP_REF,GAP_OTHER,GAP_NONE,DIFF,SAME
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,1,1000000,1000000,0.000000,0.000000,0.091238,0.908762,0.015282,0.984718
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,1000001,2000000,1000000,0.000000,0.000000,0.045295,0.954705,0.010099,0.989901
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,2000001,3000000,1000000,0.000000,0.000000,0.002336,0.997664,0.002517,0.997483
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,3000001,4000000,1000000,0.000000,0.000000,0.000441,0.999559,0.001013,0.998987
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,4000001,5000000,1000000,0.000000,0.000000,0.000504,0.999496,0.001143,0.998857
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,5000001,6000000,1000000,0.000000,0.000000,0.001878,0.998122,0.001844,0.998156
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,6000001,7000000,1000000,0.000000,0.000000,0.008745,0.991255,0.001496,0.998504
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,7000001,8000000,1000000,0.000000,0.000000,0.002740,0.997260,0.001486,0.998514
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,8000001,9000000,1000000,0.000000,0.000000,0.001013,0.998987,0.001600,0.998400
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,9000001,10000000,1000000,0.000000,0.000000,0.000291,0.999709,0.001542,0.998458
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,10000001,11000000,1000000,0.000000,0.000000,0.000400,0.999600,0.001701,0.998299
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,11000001,12000000,1000000,0.000000,0.000000,0.006525,0.993475,0.001360,0.998640
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,12000001,13000000,1000000,0.000000,0.000000,0.001431,0.998569,0.001542,0.998458
mPonPyg2#2#chrY_hap2_hsaY,mPonAbe1#2#chrY_hap2_hsaY,Y,13000001,14000000,1000000,0.000000,0.000000,0.001163,0.998837,0.001358,0.998642
